serial_no,question,options/A,options/B,options/C,options/D,options/E,answer,hallucinated_question,technique,difficulty_justification,pred_GPT-4o-mini,correct_GPT-4o-mini,pred_Gemini-3.1-flash-lite,correct_Gemini-3.1-flash-lite,pred_Grok-4.3,correct_Grok-4.3,pred_Qwen-2.5-72B,correct_Qwen-2.5-72B,pred_Llama-3.1-70B,correct_Llama-3.1-70B,pred_DeepSeek-V4-Flash,correct_DeepSeek-V4-Flash
13,পেসমেকারের কাজ কি?,রক্তকে তরল রাখে,রক্ত সঞ্চালন বৃদ্ধি করে,হৃদরোগ প্রতিরোধ করে,হৃদস্পন্দনের ধীরগতি নিয়ন্ত্রণ করে,উত্তর নেই,D,উল্লিখিত যন্ত্রটির প্রধান কাজ কী?,Referent Deletion,"কোন যন্ত্রটি ‘উল্লিখিত’ তা বলা না থাকায় তার কাজ নির্ধারণ করা যায় না, ফলে A–D-এর কোনো বিকল্পই নিশ্চিতভাবে সঠিক নয়।",E,1,E,1,E,1,E,1,A,0.0,E,1
14,"পূর্ণবয়স্ক সুস্থ মানুষের দুই বৃক্কে প্রতি মিনিটে মোট রক্ত সঞ্চালনের
পরিমাণ-",২৫০ মিঃ লিঃ,১২৫ মিঃ লিঃ,৩৭৫ মিঃ লিঃ,১২০০ মিঃ লিঃ,উত্তর নেই,D,উল্লিখিত শারীরবৃত্তীয় পরিমাপ অনুযায়ী পূর্ণবয়স্ক সুস্থ মানুষের দুই বৃক্কে প্রতি মিনিটে মোট রক্তসঞ্চালনের পরিমাণ কত?,Referent Deletion,"কোন শারীরবৃত্তীয় পরিমাপ বা তার মান ‘উল্লিখিত’ হয়নি, তাই প্রদত্ত কোনো বিকল্পকে নির্দিষ্টভাবে সঠিক বলা যায় না।",D,0,D,0,E,1,D,0,D,0.0,D,0
15,কোনটির উপস্থিতিতে স্নেহ পদার্থের ইমালসিফিকেশন হয়?,বাইল সল্ট,এনজাইম,ভিটামিন,হরমোন,উত্তর নেই,A,উল্লিখিত নির্দিষ্ট পদার্থের উপস্থিতিতে স্নেহ পদার্থের ইমালসিফিকেশন হয়—পদার্থটি কোনটি?,Referent Deletion,"প্রশ্নে ‘উল্লিখিত নির্দিষ্ট পদার্থ’-এর কোনো পূর্বসূত্র নেই, তাই কোন পদার্থ বোঝানো হয়েছে তা নির্ধারণ করা যায় না।",A,0,A,0,A,0,A,0,A,0.0,A,0
16,নিচের কোনটি নাইট্রোজেনবিহীন পদার্থ?,ল্যাকটিক এসিড,ক্রিয়েটিনিন,এমোনিয়া,ইউরিয়া,উত্তর নেই,A,"নিচের কোনটি নাইট্রোজেনবিহীন পদার্থ, যা একই সঙ্গে নাইট্রোজেনীয় বিপাকের চূড়ান্ত বর্জ্য হিসেবে উৎপন্ন হয়?",Contradiction,"নাইট্রোজেনবিহীন ল্যাকটিক অ্যাসিড নাইট্রোজেনীয় বিপাকের চূড়ান্ত বর্জ্য নয়, আর বাকি পদার্থগুলো নাইট্রোজেনযুক্ত—তাই কোনো বিকল্পই উভয় শর্ত পূরণ করে না।",D,0,E,1,E,1,A,0,D,0.0,E,1
17,মুখে খাওয়ার পোলিও ভ্যাকসিনটি কোন ধরনের ভ্যাকসিন?,নিষ্ক্রিয় টিকা,জীবনস্মৃত জীবন্ত টিকা,উপএকক টিকা,অনুবন্ধী টিকা,উত্তর নেই,B,মুখে খাওয়ার পোলিও ভ্যাকসিনটি অ্যান্টিজেনিকভাবে নিষ্ক্রিয় হলেও দেহে প্রতিলিপি করতে সক্ষম জীবন্ত—এই পরস্পরবিরোধী বৈশিষ্ট্য অনুযায়ী এটি কোন ধরনের ভ্যাকসিন?,Contradiction,বিশেষজ্ঞ জানেন যে কোনো টিকা একই সঙ্গে নিষ্ক্রিয় এবং প্রতিলিপি-সক্ষম জীবন্ত হতে পারে না; মুখে খাওয়ার পোলিও টিকা প্রকৃতপক্ষে জীবন্ত দুর্বলীকৃত টিকা।,E,1,B,0,E,1,B,0,D,0.0,B,0
18,নিচের কোনটি ম্যাক্রোফেজের কাজ নয়?,বিভিন্ন ধরনের কোষবিষ তৈরি করা,বিভিন্ন ধরনের এন্টিবডি তৈরি করা,জীর্ণ কোষকে অপসারন করা,রিঅ্যাকটিভ অক্সিজেন ইন্টারমিডিয়েট তৈরি করা,উত্তর নেই,B,ম্যাক্রোফেজের অ্যান্টিবডি উৎপাদনকে স্বাভাবিক কার্য হিসেবে ধরে নিচের কোনটি ম্যাক্রোফেজের কাজ নয়?,Unrealism,ম্যাক্রোফেজ অ্যান্টিবডি তৈরি করে না; অ্যান্টিবডি উৎপাদন মূলত বি-লিম্ফোসাইটজাত প্লাজমা কোষের কাজ—তাই প্রশ্নের ভিত্তিই তথ্যগতভাবে ভুল।,B,0,B,0,E,1,B,0,A,0.0,E,1
19,অন্তঃশ্বসন-,কোষ ও রক্তে সংঘটিত হয়,নির্দিষ্ট পরিমাণ শক্তি উৎপন্ন করে,এনজাইম দ্বারা প্রভাবিত হয় না,একটি ভৌত রাসায়নিক প্রক্রিয়া,উত্তর নেই,"A,B",এই নির্দিষ্ট শারীরবৃত্তীয় প্রক্রিয়া সম্পর্কে নিচের কোন বক্তব্যটি সঠিক?,Referent Deletion,প্রশ্নে কোন শারীরবৃত্তীয় প্রক্রিয়াকে বোঝানো হয়েছে তা উল্লেখ না থাকায় A–D-এর কোনোটিকেই নির্দিষ্টভাবে সঠিক বলা যায় না।,E,1,E,1,E,1,E,1,A,0.0,E,1
20,Mollusca এর ক্ষেত্রে কোনটি সঠিক?,নরম কিউটিকুলার এপিডার্মিস দ্বারা আবৃত,নরম ও অখন্ডায়িত,প্রতি খন্ডে নেফ্রিডিয়া বিদ্যমান থাকে,দেহাভ্যন্তরে কেন্দ্রীয় গহ্বর বিদ্যমান,উত্তর নেই,B,উল্লিখিত অমেরুদণ্ডী প্রাণীগোষ্ঠীর ক্ষেত্রে কোনটি সঠিক?,Referent Deletion,প্রশ্নে কোনো নির্দিষ্ট প্রাণীগোষ্ঠীর নাম উল্লেখ না থাকায় বিকল্পগুলোর কোনোটিকেই নিশ্চিতভাবে সঠিক বলা যায় না।,E,1,E,1,E,1,C,0,B,0.0,UNKNOWN,0
21,গ্লুকাগন-,রক্তে সুগার কমায়,অগ্ন্যাশয়ের ডেলটা কোষ থেকে নিঃসৃত হয়,একটি পলিপেপটাইড এনজাইম,ইনসুলিনের সাথে বিপরীতভাবে সম্পর্কিত,উত্তর নেই,D,উল্লিখিত হরমোনটির বৈশিষ্ট্য হিসেবে নিচের কোন বক্তব্যটি সঠিক?,Referential Deletion,"প্রশ্নে কোন হরমোনকে ‘উল্লিখিত’ বলা হয়েছে তার কোনো পূর্বসূত্র নেই, তাই A–D-এর কোনোটিই নির্দিষ্টভাবে সঠিক বলে নির্ধারণ করা যায় না।",E,1,E,1,E,1,D,0,D,0.0,D,0
22,মানবদেহে কোনটি লুপ্তপ্রায় অংগ?,থাইরয়েড গ্ল্যান্ড,থাইমাস,স্ক্যাপুলা,ক্যানাইন দাঁত,উত্তর নেই,B,"মানবদেহে যে অঙ্গটি শৈশবের পর লুপ্তপ্রায় হয়ে যায়, কিন্তু প্রাপ্তবয়স্ক অবস্থায়ও একই মাত্রায় সক্রিয় থাকে—সেটি কোনটি?",Contradiction,থাইমাস শৈশবের পর ক্রমশ অবক্ষয়প্রাপ্ত হলেও প্রাপ্তবয়স্ক অবস্থায় একই মাত্রায় সক্রিয় থাকে না—এই পরস্পরবিরোধী শর্তের কারণে A–D-এর কোনোটিই সঠিক নয়।,B,0,E,1,E,1,E,1,A,0.0,E,1
23,কোন উদ্দীপনা অ্যানিমোট্যাক্সিসকে প্রভাবিত করে?,বায়ুপ্রবাহ,আর্দ্রতা,মাধ্যাকর্ষণ,তাপ,উত্তর নেই,A,"অ্যানিমোট্যাক্সিসকে এমন একটি অভিমুখন প্রতিক্রিয়া হিসেবে বিবেচনা করলে, যা বায়ুপ্রবাহের দিকের ওপর নির্ভরশীল কিন্তু বায়ুপ্রবাহের অনুপস্থিতিতেও ঘটে, কোন উদ্দীপনা এটিকে প্রভাবিত করে?",Contradiction,"অ্যানিমোট্যাক্সিস একই সঙ্গে বায়ুপ্রবাহনির্ভর এবং বায়ুপ্রবাহ-অনুপস্থিতিতে সংঘটিত হতে পারে না, তাই প্রদত্ত কোনো উদ্দীপনাই সামঞ্জস্যপূর্ণ উত্তর নয়।",E,1,E,1,E,1,E,1,C,0.0,E,1
24,মায়োফাইব্রিলে কি ধরনের আমিষ থাকে?,অ্যাকটিন এবং মায়োসিন,অ্যাকটিন এবং জিলাটিন,মায়োসিন এবং ইলাস্টিন,কোলাজেন এবং মায়োসিন,উত্তর নেই,A,উল্লিখিত গঠনে কী ধরনের আমিষ থাকে?,Referent Deletion,"‘উল্লিখিত গঠন’-এর কোনো পূর্বসূত্র দেওয়া হয়নি, তাই সেটি মায়োফাইব্রিল কি না নির্ধারণ করা যায় না এবং A–D-এর কোনো বিকল্প নিশ্চিতভাবে সঠিক নয়।",E,1,E,1,E,1,E,1,A,0.0,E,1
25,অন্ত্রের প্রথম প্রতিরক্ষার স্তর কোনটি?,"পাকস্থলির অ্যাসিড, মাইক্রোবায়োম ও মলত্যাগ","সিলিয়া, কমপ্লিমেন্ট তন্ত্র ও সাইটোকাইনস","ত্বক, ফ্যাগোসাইটস ও কমপ্লিমেন্ট তন্ত্র","লালা, পাকস্থলির এনজাইম ও ফ্যাগোসাইটস",উত্তর নেই,A,উল্লিখিত অন্ত্র-সম্পর্কিত প্রতিরক্ষাব্যবস্থার প্রথম স্তর কোনটি?,Referent Deletion,"প্রশ্নে ‘উল্লিখিত প্রতিরক্ষাব্যবস্থা’র কোনো পূর্বসূরি বা নির্দিষ্ট বর্ণনা নেই, তাই কোন প্রতিরক্ষা-স্তর বোঝানো হয়েছে তা নির্ধারণ করা যায় না।",E,1,A,0,E,1,A,0,A,0.0,A,0
26,বুকের দুধের কোন উপাদানটি নবজাতকের প্রতিরক্ষায় কার্যকর?,সহজপাচ্য আমিষ,ইমিউনোগ্লোবুলিন-এ,পলিআনস্যাচুরেটেড ফ্যাটি অ্যাসিড,গ্যালাকটোজ,উত্তর নেই,B,উল্লিখিত বৈশিষ্ট্যসম্পন্ন বুকের দুধের উপাদানটি নবজাতকের প্রতিরক্ষায় কীভাবে কার্যকর?,Referent Deletion,"কোন বৈশিষ্ট্য বা কোন নির্দিষ্ট উপাদানকে ‘উল্লিখিত’ বলা হয়েছে তা প্রশ্নে দেওয়া নেই, তাই A–D-এর কোনোটিকেই নিশ্চিতভাবে সঠিক বলা যায় না।",B,0,B,0,E,1,B,0,B,0.0,B,0
27,নিচের কোন স্তন্যপায়ী প্রাণী ডিম পাড়ে?,বাদুর (Bat),ক্যাঙ্গারু (Kangaroo),প্লাটিপাস (Platypus),সীল (Seal),উত্তর নেই,C,নিচের কোন স্তন্যপায়ী প্রাণী ডিম পাড়ে এবং একই সঙ্গে জীবন্ত শাবক প্রসব করে?,Contradiction,"স্তন্যপায়ীদের মধ্যে প্লাটিপাস ডিম পাড়লেও জীবন্ত শাবক প্রসব করে না, ফলে কোনো বিকল্পই উভয় শর্ত পূরণ করে না।",C,0,E,1,E,1,E,1,C,0.0,E,1
29,নিচের চার প্রকোষ্ঠ বিশিষ্ট হৃদপিন্ড কোন প্রাণীতে দেখা যায়?,কুমীর,কচ্ছপ,টিকটিকি,সাপ,উত্তর নেই,A,উল্লিখিত চার প্রকোষ্ঠবিশিষ্ট হৃদপিণ্ড কোন প্রাণীতে দেখা যায়?,Referent Deletion,"কোন হৃদপিণ্ডের বৈশিষ্ট্যকে ‘উল্লিখিত’ বলা হচ্ছে তার কোনো পূর্বসূত্র নেই, তাই প্রদত্ত কোনো বিকল্পকে নির্দিষ্টভাবে সঠিক বলা যায় না।",A,0,A,0,A,0,C,0,C,0.0,A,0
30,কোন hormone পাকস্থলির এসিড নিঃসরণ নিয়ন্ত্রণ করে?,কোলোসিস্টোকাইনিন,সিক্রেটিন,এন্টেরোকাইনিন,গ্যাস্ট্রিন,উত্তর নেই,D,পাকস্থলীর এসিড নিঃসরণ নিয়ন্ত্রণকারী হিসেবে উল্লিখিত হরমোনটির নাম কী?,Referent Deletion,কোন হরমোনকে ‘উল্লিখিত’ বলা হয়েছে তার কোনো পূর্বসূত্র না থাকায় প্রশ্নটির নির্দিষ্ট উত্তর নির্ধারণ করা যায় না।,D,0,D,0,D,0,B,0,D,0.0,D,0
31,কোন কোষ বিভাজন পদ্ধতিতে RBC তৈরি হয়?,synopsis,mitosis,meiosis,amitiosis,উত্তর নেই,B,নিউক্লিয়াসবিহীন পরিণত RBC-এর মধ্যেই নতুন RBC উৎপন্ন হওয়ার ক্ষেত্রে কোন কোষ বিভাজন পদ্ধতি ঘটে?,Unrealism,পরিণত RBC নিউক্লিয়াসবিহীন হওয়ায় বিভাজনের মাধ্যমে নতুন RBC তৈরি করতে পারে না; erythropoiesis ঘটে পূর্বসূরি নিউক্লিয়াসযুক্ত কোষে।,E,1,E,1,E,1,E,1,B,0.0,E,1
32,কোন hormone রক্তে Na+ এবং K+ এর সমতা রক্ষা করে?,ইনসুলিন,থাইরোক্সিন,এলডোস্টেরন,এড্রেনালিন,উত্তর নেই,C,রক্তে Na⁺ ও K⁺-এর সমতা রক্ষাকারী এবং থাইরয়েড গ্রন্থি থেকে নিঃসৃত হরমোনটির নাম কী?,Contradiction,"Na⁺-K⁺ ভারসাম্য রক্ষাকারী অ্যালডোস্টেরন অ্যাড্রিনাল কর্টেক্স থেকে নিঃসৃত হয়, তাই প্রশ্নের দুই শর্ত একসঙ্গে কোনো প্রদত্ত বিকল্পের ক্ষেত্রে সত্য নয়।",C,0,E,1,E,1,E,1,C,0.0,E,1
33,স্বাভাবিক অবস্থায় হৃদপিন্ডের পেসমেকার কোনটি?,Bundle of His,SA node,AV node,Purkinje fiber,উত্তর নেই,B,"স্বাভাবিক অবস্থায় যে গঠনটি হৃদপিণ্ডের প্রাথমিক পেসমেকার হিসেবে কাজ করে এবং একই সঙ্গে অ্যাট্রিওভেন্ট্রিকুলার জংশনে অবস্থিত, সেটি কোনটি?",Contradiction,"প্রাথমিক পেসমেকার হলো SA node, কিন্তু এটি অ্যাট্রিওভেন্ট্রিকুলার জংশনে অবস্থিত নয়; সেখানে AV node থাকে, তাই কোনো একক বিকল্পই উভয় শর্ত পূরণ করে না।",C,0,E,1,E,1,C,0,B,0.0,E,1
34,নিচের কোন রক্তকণিকাটি স্মৃতিকোষ?,বেসোফিল,মনোসাইট,নিউট্রোফিল,লিম্ফোসাইট,উত্তর নেই,D,"যে রক্তকণিকাটি স্মৃতিকোষ হিসেবে কাজ করে কিন্তু অভিযোজিত রোগপ্রতিরোধে কোনো ভূমিকা রাখে না, সেটি কোনটি?",Contradiction,"স্মৃতিকোষ অভিযোজিত রোগপ্রতিরোধের অপরিহার্য অংশ হওয়ায় প্রশ্নের দুটি শর্ত পরস্পরবিরোধী, তাই A–D-এর কোনো বিকল্পই সঠিক হতে পারে না।",D,0,E,1,E,1,E,1,D,0.0,E,1
35,যকৃতে অবস্থিত ম্যাক্রোফেজকে কি কোষ বলে?,অস্টিওব্লাস্ট,কুফার কোষ,মাইক্রোগ্লিয়া,ডেনড্রাইটিক কোষ,উত্তর নেই,B,উল্লিখিত অঙ্গে অবস্থিত ম্যাক্রোফেজকে কী বলা হয়?,Referent Deletion,কোন অঙ্গের কথা বলা হয়েছে তা উল্লেখ না থাকায় ম্যাক্রোফেজটির নির্দিষ্ট নাম নির্ধারণ করা যায় না; যকৃতের ম্যাক্রোফেজকে কুফার কোষ বলা হয়—এ তথ্যটি এখানে প্রয়োগের সুযোগ নেই।,B,0,E,1,E,1,C,0,B,0.0,E,1
36,পূর্ণবয়স্ক সুস্থ মানুষের দেহের ওজনের কত শতাংশ রক্ত থাকে?,৭-৮%,১৫-১৯%,১৯-২০%,১০-১৫%,উত্তর নেই,A,উল্লিখিত পূর্ণবয়স্ক সুস্থ ব্যক্তির দেহের ওজনের কত শতাংশ রক্ত থাকে?,Referent Deletion,"প্রশ্নে ‘উল্লিখিত’ ব্যক্তির কোনো পূর্বপরিচয় বা নির্দিষ্ট বৈশিষ্ট্য দেওয়া হয়নি, তাই তার ক্ষেত্রে রক্তের স্বাভাবিক অনুপাত নির্ধারণ করা যায় না।",A,0,A,0,A,0,A,0,A,0.0,A,0
37,নিচের কোনটিতে হাইড্রার বহিঃকোষীয় পরিপাক সংঘটিত হয়?,গ্যাসট্রোডার্মিস,হাইপোস্টোম,সিলেন্টেরন,কর্ষিকা,উত্তর নেই,C,হাইড্রার উল্লিখিত ধরনের পরিপাক কোন গঠনে সংঘটিত হয়?,Referent Deletion,"কোন ধরনের পরিপাক বোঝানো হয়েছে তা প্রশ্নে নির্দিষ্ট না থাকায় গ্যাস্ট্রোডার্মিস, হাইপোস্টোম, সিলেন্টেরন বা কর্ষিকার কোনোটি নিশ্চিতভাবে নির্বাচন করা যায় না।",E,1,C,0,E,1,C,0,C,0.0,E,1
38,ব্লাড গ্রুপ AB তে প্লাজমায়-,কোন antibody থাকে না,A antibody থাকে,A ও B antibody থাকে,B antibody থাকে,উত্তর নেই,A,ব্লাড গ্রুপ AB-তে A ও B অ্যান্টিজেন উপস্থিত এবং প্লাজমায় একই সঙ্গে A ও B অ্যান্টিবডি থাকে—এই পরস্পরবিরোধী বর্ণনা অনুযায়ী প্লাজমায় কোন অ্যান্টিবডি থাকে?,Contradiction,"AB রক্তগ্রুপে A ও B অ্যান্টিজেন থাকলেও স্বাভাবিকভাবে প্লাজমায় anti-A বা anti-B অ্যান্টিবডি থাকে না, তাই প্রশ্নের যৌথ বর্ণনাটি চিকিৎসাবিজ্ঞানের দৃষ্টিতে অসঙ্গত।",E,1,A,0,E,1,A,0,A,0.0,E,1
39,কোনটি প্লাজমা প্রোটিন নয়?,ক্রিয়েটিনিন,ফাইব্রিনোজেন,অ্যালবুমিন,গ্লোবুলিন,উত্তর নেই,A,স্বাভাবিক প্রাপ্তবয়স্কের প্লাজমায় ১২০–১৫০ g/L ঘনত্বে থাকা প্রোটিনটি কোনটি?,Unrealism,"বিশেষজ্ঞ জানেন যে প্লাজমার কোনো একক প্রোটিনের স্বাভাবিক ঘনত্ব এই পরিসরে থাকে না; অ্যালবুমিন, গ্লোবুলিন ও ফাইব্রিনোজেনের ঘনত্ব এর তুলনায় অনেক কম, আর ক্রিয়েটিনিন প্রোটিন নয়।",C,0,E,1,E,1,C,0,C,0.0,E,1
40,কোন রক্তকণিকা দেহে antibody তৈরি করে?,নিউট্রোফিল,বেসোফিল,অনুচক্রিকা,বি-লিম্ফোসাইট,উত্তর নেই,D,"যে রক্তকণিকা অ্যান্টিবডি তৈরি করে, সেটি যদি বি-লিম্ফোসাইটের পরিণত রূপ না হয়, তবে উল্লিখিত বিকল্পগুলোর মধ্যে সেটি কোনটি?",Contradiction,"অ্যান্টিবডি-উৎপাদনকারী প্লাজমা কোষ আসলে বি-লিম্ফোসাইটের পরিণত রূপ, তাই প্রশ্নের দুইটি শর্ত পরস্পর অসঙ্গত এবং A–D-এর কোনো বিকল্পই সঠিক নয়।",E,1,E,1,E,1,E,1,E,1.0,E,1
