text,Symptom,Health Condition,Medicine,Specialist,Age,Dosage,Medical Procedure,target_specialist,modified_specialist,modified_sentence
Thank you for asking question to Daktarbhai . Pls Consult a skin specialist doctor physically . Thank you . ,,,,skin specialist doctor,,,,skin specialist doctor,dermatologist,Thank you for asking question to Daktarbhai . Pls Consult a dermatologist physically . Thank you .
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । মুখে ব্রন ছাড়াও অনেক ধরনের দাগ জনিত রোগ হয় । একেক রোগের চিকিৎসা একেক রকমের । আপনি পানি বেশি করে পান করুন । মুখ পরিষ্কার রাখবেন । দুশ্চিন্তা করবে না । রাত জাগবেন না । একজন চর্ম রোগের ডাক্তারকে দেখিয়ে ঔষধ গ্রহন করুন । ধন্যবাদ,,,,চর্ম রোগের ডাক্তারকে,,,,চর্ম রোগের ডাক্তারকে,অ্যালার্জি বিশেষজ্ঞকে,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । মুখে ব্রন ছাড়াও অনেক ধরনের দাগ জনিত রোগ হয় । একেক রোগের চিকিৎসা একেক রকমের । আপনি পানি বেশি করে পান করুন । মুখ পরিষ্কার রাখবেন । দুশ্চিন্তা করবে না । রাত জাগবেন না । একজন অ্যালার্জি বিশেষজ্ঞকে দেখিয়ে ঔষধ গ্রহন করুন । ধন্যবাদ
ধন্যবাদ আপনার প্রশ্নের জন্য । সাইকিয়াট্রিস্ট দেখাবেন । ধন্যবাদ,,,,সাইকিয়াট্রিস্ট,,,,সাইকিয়াট্রিস্ট,নিউরোলজিস্ট,ধন্যবাদ আপনার প্রশ্নের জন্য । নিউরোলজিস্ট দেখাবেন । ধন্যবাদ
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । উনার ব্লাড প্রেসার কি low থাকে ? ? তাছারা উনার কি জ্বর আসে মাঝেমাঝে ? ? উনার blood pressure চেক করবেন । CBC with ESR with PBF পরীক্ষা করবেন এবং মেডিসিন বিশেষজ্ঞের পরামর্শ নিবেন । ,,,,মেডিসিন বিশেষজ্ঞের,,,CBC with ESR with PBF,মেডিসিন বিশেষজ্ঞের,হৃদরোগ বিশেষজ্ঞের,ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । উনার ব্লাড প্রেসার কি low থাকে ? ? তাছারা উনার কি জ্বর আসে মাঝেমাঝে ? ? উনার blood pressure চেক করবেন । CBC with ESR with PBF পরীক্ষা করবেন এবং হৃদরোগ বিশেষজ্ঞের পরামর্শ নিবেন ।
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । এক বছর ধরে সর্দি , কাশি না আপনি তারিখ ভুল করছেন , বোঝা যাচ্ছে না । আপনার মাথা ঘুড়ানোর অন্য কোনো কারন থাকতে পারে । কানে কম শুনলে বা কানে ইনফেকশনের জন্য মাথা ঘুড়তে পারে । একজন ভাল নাক কান গলা ডাক্তার কে দেখিয়ে পরামর্শ নিন । আপনাকে একজন নিউরো মেডিসিন ডাক্তারো দেখাতে হতে পারে । ধন্যবাদ",,,,নাক কান গলা ডাক্তার | নিউরো মেডিসিন,,,,নাক কান গলা ডাক্তার | নিউরো মেডিসিন,নিউরোলজিস্ট,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । এক বছর ধরে সর্দি , কাশি না আপনি তারিখ ভুল করছেন , বোঝা যাচ্ছে না । আপনার মাথা ঘুড়ানোর অন্য কোনো কারন থাকতে পারে । কানে কম শুনলে বা কানে ইনফেকশনের জন্য মাথা ঘুড়তে পারে । একজন ভাল নাক কান গলা ডাক্তার কে দেখিয়ে পরামর্শ নিন । আপনাকে একজন নিউরোলজিস্ট ডাক্তারো দেখাতে হতে পারে । ধন্যবাদ"
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ এই অবস্হায় সরাসরি না দেখে এবং পরীক্ষা না করে কিছু বলা ঠিক হবেনা আপনি একজন Medicine Speacialist এর পরামর্শ নিন ধন্যবাদ,,,,Medicine Speacialist,,,পরীক্ষা,Medicine Speacialist,General Physician,ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ এই অবস্হায় সরাসরি না দেখে এবং পরীক্ষা না করে কিছু বলা ঠিক হবেনা আপনি একজন General Physician এর পরামর্শ নিন ধন্যবাদ
Sir Amar khub hath abong pa ghamay ami akjon neurologist dekhyci tini ay roger name bollen hyparosis to tini amak amelin - 10 . indevar - 10 . nortin - 10 khayte dice agula khawar por kono improve hoy ny akhon ami ki korbo,hath abong pa ghamay,hyparosis,amelin - 10 | indevar - 10 | nortin - 10,neurologist,,,,neurologist,endocrinologist,Sir Amar khub hath abong pa ghamay ami akjon endocrinologist dekhyci tini ay roger name bollen hyparosis to tini amak amelin - 10 . indevar - 10 . nortin - 10 khayte dice agula khawar por kono improve hoy ny akhon ami ki korbo
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । Syp Tofen 1 . 5 চামচ করে রাতে খাওয়াতে পারেন আপনি সরাসরি একজন Pedatrician এর পরামর্শ নিন ধন্যবাদ,,,Syp Tofen,Pedatrician,,1 . 5 চামচ করে রাতে,,Pedatrician,শিশু অ্যালার্জি বিশেষজ্ঞ,ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । Syp Tofen 1 . 5 চামচ করে রাতে খাওয়াতে পারেন আপনি সরাসরি একজন শিশু অ্যালার্জি বিশেষজ্ঞ এর পরামর্শ নিন ধন্যবাদ
ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । আপনার গালের সাদা স্পট না দেখে চিকিত্সা দেয়া সম্ভব হবে না । সুতরাং আপনি একজন চর্মরোগ বিশেষজ্ঞের পরামর্শ নিন । ধন্যবাদ,,,,চর্মরোগ বিশেষজ্ঞের,,,,চর্মরোগ বিশেষজ্ঞের,অ্যালার্জি বিশেষজ্ঞের,ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । আপনার গালের সাদা স্পট না দেখে চিকিত্সা দেয়া সম্ভব হবে না । সুতরাং আপনি একজন অ্যালার্জি বিশেষজ্ঞের পরামর্শ নিন । ধন্যবাদ
Thank you for asking your question to daktarbhai . Apnar keno ai shomossha hosse ta na jene kono oushud khawa jabe na . apni akjon urology doctor ke dekhaben . ,,,,urology doctor,,,,urology doctor,nephrology doctor,Thank you for asking your question to daktarbhai . Apnar keno ai shomossha hosse ta na jene kono oushud khawa jabe na . apni akjon nephrology doctor ke dekhaben .
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । যেহেতু ব্যাথানাশক ঔষধ খেয়েও ব্যাথা কমেনি , সমস্যাটি গুরুতর । একজন অর্থোপেডিক্স বিশেষজ্ঞের সাথে সরাসরি দেখা করে পরামর্শ নিন । গরম শেক দিন । ধন্যবাদ । ",,,ব্যাথানাশক ঔষধ,অর্থোপেডিক্স,,,,অর্থোপেডিক্স,রিউমাটোলজি,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । যেহেতু ব্যাথানাশক ঔষধ খেয়েও ব্যাথা কমেনি , সমস্যাটি গুরুতর । একজন রিউমাটোলজি বিশেষজ্ঞের সাথে সরাসরি দেখা করে পরামর্শ নিন । গরম শেক দিন । ধন্যবাদ ।"
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ আপনি NAN 1 খাওয়াতে পারেন একজন শিশু Specialist এর পরামর্শ নিতে পারেন ধন্যবাদ,,,,শিশু Specialist,,,,শিশু Specialist,শিশু রোগ বিশেষজ্ঞ,ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ আপনি NAN 1 খাওয়াতে পারেন একজন শিশু রোগ বিশেষজ্ঞ এর পরামর্শ নিতে পারেন ধন্যবাদ
ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । প্রথমত আপনাকে খাবার খেতে হবে ঠিকমতো । tab - filwel gold 0 + 1 + 0 ১ মাস এই মাল্টিভিটামিন খেতে পারেন । Tab - ovocal D 1 + 0 + 0 ১ মাস খাবেন । একজন গাইনি বিশেষজ্ঞ চিকিৎসক এর পরামর্শ নিবেন । ,,,tab - filwel gold | Tab - ovocal D,গাইনি বিশেষজ্ঞ চিকিৎসক,,0 + 1 + 0 | 1 + 0 + 0,,গাইনি বিশেষজ্ঞ চিকিৎসক,স্ত্রীরোগ বিশেষজ্ঞ চিকিৎসক,ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । প্রথমত আপনাকে খাবার খেতে হবে ঠিকমতো । tab - filwel gold 0 + 1 + 0 ১ মাস এই মাল্টিভিটামিন খেতে পারেন । Tab - ovocal D 1 + 0 + 0 ১ মাস খাবেন । একজন স্ত্রীরোগ বিশেষজ্ঞ চিকিৎসক এর পরামর্শ নিবেন ।
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । এ ধরেনের সমস্যায় কিছু পরীক্ষার মাধ্যমে সঠিক রোগ নির্নয় করে চিকিৎসা দেয়া প্রয়োজন । আপনি একজন চর্মরোগ বিশেষজ্ঞের সাথে সরাসরি যোগাযোগ করুন । ধন্যবাদ । ,,,,চর্মরোগ বিশেষজ্ঞের,,,,চর্মরোগ বিশেষজ্ঞের,অ্যালার্জি বিশেষজ্ঞের,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । এ ধরেনের সমস্যায় কিছু পরীক্ষার মাধ্যমে সঠিক রোগ নির্নয় করে চিকিৎসা দেয়া প্রয়োজন । আপনি একজন অ্যালার্জি বিশেষজ্ঞের সাথে সরাসরি যোগাযোগ করুন । ধন্যবাদ ।
Thanks for questioning daktarbhai . Please contact with a paediatric doctor physically then take any medicine . Thanks,,,,paediatric doctor,,,,paediatric doctor,neonatologist,Thanks for questioning daktarbhai . Please contact with a neonatologist physically then take any medicine . Thanks
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । দূর্বলতা কোনো রোগ নয় । এটা রোগের লক্ষন । আপনি পরিমিত খাবার খান । পানি বেশি করে পান করুন । যে সব রোগে মানুষ বেশি দূর্বল হয় যেমন ডায়াবেটিস , রক্ত শুন্যতা , জন্ডিস রোগ আপনার আছে কিনা তা জানার চেষ্টা করুন । একজন মেডিসিন বিশেষজ্ঞ কে দিয়ে পরিক্ষা করিয়ে নিন । স্ট্রোক করলেও হাত পা দূর্বল হতে পারে । ঘুম ঠিক মত হচ্ছে কিনা খেয়াল করুন । দুশ্চিন্তা দূর করুন । ধন্যবাদ । ",,ডায়াবেটিস | রক্ত শুন্যতা | জন্ডিস রোগ,,মেডিসিন বিশেষজ্ঞ,,,,মেডিসিন বিশেষজ্ঞ,স্নায়ুরোগ বিশেষজ্ঞ,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । দূর্বলতা কোনো রোগ নয় । এটা রোগের লক্ষন । আপনি পরিমিত খাবার খান । পানি বেশি করে পান করুন । যে সব রোগে মানুষ বেশি দূর্বল হয় যেমন ডায়াবেটিস , রক্ত শুন্যতা , জন্ডিস রোগ আপনার আছে কিনা তা জানার চেষ্টা করুন । একজন স্নায়ুরোগ বিশেষজ্ঞ কে দিয়ে পরিক্ষা করিয়ে নিন । স্ট্রোক করলেও হাত পা দূর্বল হতে পারে । ঘুম ঠিক মত হচ্ছে কিনা খেয়াল করুন । দুশ্চিন্তা দূর করুন । ধন্যবাদ ।"
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । এই অবস্হায় সরাসরি না দেখে বাচ্চাকে কিছু দিলে ক্ষতি হতে পারে আপনি সরাসরি একজন Skin specialist এর পরামর্শ নিতে পারেন ধন্যবাদ,,,,Skin specialist,,,,Skin specialist,অ্যালার্জি বিশেষজ্ঞ,ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । এই অবস্হায় সরাসরি না দেখে বাচ্চাকে কিছু দিলে ক্ষতি হতে পারে আপনি সরাসরি একজন অ্যালার্জি বিশেষজ্ঞ এর পরামর্শ নিতে পারেন ধন্যবাদ
"আমার ছোট ভাইয়ের জিহ্বার নিচে দুই মাস যাবৎ একটি সাদা গুটির মতো বিচি ওঠেছে । সে একজন ডাক্তার এর পরামর্শ মতো Tab cefotil plus 125mg 1 + 0 + 1 - 7 days . Micoral gel apply 3 times daily 7 days . / Trialon oral paste apply 2 times daily 7 days . use করেছে । কিন্তু সমস্যা সমাধান হচ্ছে না । সমস্যা সমাধানে পরামর্শ দেন । নতুবা নাক , কান , গলা বিশেষজ্ঞ চিকিৎসকের একজন ডাক্তার সাহেব এর Facebook I ' d চাচ্ছিলাম । ( আপনাকে ছবিসহ পাঠানো রেমিটেন্স জন্য ) Name : < NAME > age : 11",জিহ্বার নিচে দুই মাস যাবৎ একটি সাদা গুটির মতো বিচি ওঠেছে,,Tab cefotil plus 125mg | Micoral gel | Trialon oral paste,"নাক , কান , গলা বিশেষজ্ঞ",11,1 + 0 + 1 | 3 times daily | 2 times daily,,"নাক , কান , গলা বিশেষজ্ঞ",মুখ ও চোয়াল সার্জারি বিশেষজ্ঞ,আমার ছোট ভাইয়ের জিহ্বার নিচে দুই মাস যাবৎ একটি সাদা গুটির মতো বিচি ওঠেছে । সে একজন ডাক্তার এর পরামর্শ মতো Tab cefotil plus 125mg 1 + 0 + 1 - 7 days . Micoral gel apply 3 times daily 7 days . / Trialon oral paste apply 2 times daily 7 days . use করেছে । কিন্তু সমস্যা সমাধান হচ্ছে না । সমস্যা সমাধানে পরামর্শ দেন । নতুবা মুখ ও চোয়াল সার্জারি বিশেষজ্ঞ চিকিৎসকের একজন ডাক্তার সাহেব এর Facebook I ' d চাচ্ছিলাম । ( আপনাকে ছবিসহ পাঠানো রেমিটেন্স জন্য ) Name : < NAME > age : 11
ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । আপনি tab - fexo 120 mg 1 + 0 + 1 ৫ দিন খাবেন । চক্ষু বিশেষজ্ঞ চিকিৎসক দেখিয়ে পরবর্তী পদক্ষেপ নিবেন । ,,,tab - fexo 120 mg,চক্ষু বিশেষজ্ঞ,,1 + 0 + 1 ৫ দিন,,চক্ষু বিশেষজ্ঞ,চক্ষু সার্জন,ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । আপনি tab - fexo 120 mg 1 + 0 + 1 ৫ দিন খাবেন । চক্ষু সার্জন চিকিৎসক দেখিয়ে পরবর্তী পদক্ষেপ নিবেন ।
ডাক্তারভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Tab Algin 50mg - - 1 + 1 + 1 After meal when there is pain . আপাতত ব্যথার জন্য ঔষধটি খাবেন । আপনার স্ত্রী যে গাইনী ডাক্তারের চিকিৎসাধীন আছেন দ্রুত উনার পরামর্শ নিন । ধন্যবাদ । ,,,Tab Algin 50mg,গাইনী ডাক্তারের চিকিৎসাধীন,,1 + 1 + 1 After meal,,গাইনী ডাক্তারের চিকিৎসাধীন,প্রসূতি ও স্ত্রীরোগ বিশেষজ্ঞ,ডাক্তারভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Tab Algin 50mg - - 1 + 1 + 1 After meal when there is pain . আপাতত ব্যথার জন্য ঔষধটি খাবেন । আপনার স্ত্রী যে প্রসূতি ও স্ত্রীরোগ বিশেষজ্ঞের চিকিৎসাধীন আছেন দ্রুত উনার পরামর্শ নিন । ধন্যবাদ ।
আপনাকে প্রশ্ন করার জন্য ধন্যবাদ । আপনার প্রশ্ন টি ভালভাবে বুঝতে পারছি না । দয়াকরে ভাল ভাবে এবং যথা সম্ভব বেশি তথ্য দিয়ে প্রশ্ন করুন । একজন যৌন ডাক্তারের পরামর্শ নিতে পারেন । ধন্যবাদ,,,,যৌন ডাক্তারের,,,,যৌন ডাক্তারের,ইউরোলজিস্টের,আপনাকে প্রশ্ন করার জন্য ধন্যবাদ । আপনার প্রশ্ন টি ভালভাবে বুঝতে পারছি না । দয়াকরে ভাল ভাবে এবং যথা সম্ভব বেশি তথ্য দিয়ে প্রশ্ন করুন । একজন ইউরোলজিস্টের পরামর্শ নিতে পারেন । ধন্যবাদ
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । আপনি ২ কানেে ২ / ৩ফোটা করে সরিষার তেল দিন । এছারা নাক কান গলা বিশেষজ্ঞের পরামর্শ নিন । ,,,,গলা বিশেষজ্ঞের,,,,গলা বিশেষজ্ঞের,অটোল্যারিঙ্গোলজিস্টের,ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । আপনি ২ কানেে ২ / ৩ফোটা করে সরিষার তেল দিন । এছারা নাক কান অটোল্যারিঙ্গোলজিস্টের পরামর্শ নিন ।
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । এর জন্য আপাতত Tab Tufnil 200 ১ টা করে খাওয়াতে পারেন আপনি সরাসরি একজন Medicine specialist এর পরামর্শ নিন ধন্যবাদ,,,Tab Tufnil 200,Medicine specialist,,১ টা,,Medicine specialist,General physician,ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । এর জন্য আপাতত Tab Tufnil 200 ১ টা করে খাওয়াতে পারেন আপনি সরাসরি একজন General physician এর পরামর্শ নিন ধন্যবাদ
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি মাথা ব্যাথার জন্য প্যারাসিটামল একটা খেতে পারেন খাবার পরে । কফি খেয়ে দেখতে পারেন । একজন মেডিসিন ডাক্তারকে দেখিয়ে নিন । ধন্যবাদ,মাথা ব্যাথার,,প্যারাসিটামল,মেডিসিন ডাক্তারকে,,একটা খেতে পারেন খাবার পরে,,মেডিসিন ডাক্তারকে,নিউরোলজি ডাক্তারকে,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি মাথা ব্যাথার জন্য প্যারাসিটামল একটা খেতে পারেন খাবার পরে । কফি খেয়ে দেখতে পারেন । একজন নিউরোলজি ডাক্তারকে দেখিয়ে নিন । ধন্যবাদ
Thank you for asking question to Daktarbhai . There are lots of reason for hairfall . Give her cap . Zif 0 + 1 + 0 - - 1 month . Tab . Floriz 1000mcg - - 0 + 1 + 0 - - - 1 month . Tab D - Rise 2000 IU - 0 + 1 + 0 - - 1 month . Drink lots of water . Eat Protien rich food like egg . meat . fish . Consulat a dermatologist physically . Thanks . ,,,cap . Zif | Tab . Floriz 1000mcg | Tab D - Rise 2000 IU,dermatologist,,0 + 1 + 0 | 0 + 1 + 0 | 0 + 1 + 0,,dermatologist,trichologist,Thank you for asking question to Daktarbhai . There are lots of reason for hairfall . Give her cap . Zif 0 + 1 + 0 - - 1 month . Tab . Floriz 1000mcg - - 0 + 1 + 0 - - - 1 month . Tab D - Rise 2000 IU - 0 + 1 + 0 - - 1 month . Drink lots of water . Eat Protien rich food like egg . meat . fish . Consulat a trichologist physically . Thanks .
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি একবেলার জন্য মেটফরমিন না খেয়ে বরং দুই তিন দিনের খাবার আগে ও পরের রক্তের সুগার মেপে বেশি থাকলে একজন ডায়াবেটিস এ - র ডাক্তারের পরামর্শ নিন । প্রতিদিন আধা ঘন্টা করে জোর কদমে হাটুন । মিষ্টি খাবার পরিহার করুন । ধন্যবাদ,,,মেটফরমিন,ডায়াবেটিস এ - র ডাক্তারের,,,,ডায়াবেটিস এ - র ডাক্তারের,এন্ডোক্রাইনোলজি বিশেষজ্ঞের,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি একবেলার জন্য মেটফরমিন না খেয়ে বরং দুই তিন দিনের খাবার আগে ও পরের রক্তের সুগার মেপে বেশি থাকলে একজন এন্ডোক্রাইনোলজি বিশেষজ্ঞের পরামর্শ নিন । প্রতিদিন আধা ঘন্টা করে জোর কদমে হাটুন । মিষ্টি খাবার পরিহার করুন । ধন্যবাদ
