serial_no,question,answer,model_raw_response,isCorrect
38,ব্লাড গ্রুপ AB তে প্লাজমায়-,A antibody থাকে,0,0
39,কোনটি প্লাজমা প্রোটিন নয়?,ফাইব্রিনোজেন,0,0
40,কোন রক্তকণিকা দেহে antibody তৈরি করে?,নিউট্রোফিল,0,0
41,কোনটি Live attenuated ভ্যাক্সিন?,হেপাটাইটিস বি,0,0
42,আমাদের জাতীয় পাখির বৈজ্ঞানিক নাম কি?,Gracula religiosa,0,0
43,মানবদেহের কোন অঙ্গে সবচেয়ে বেশি মাত্রায় রক্ত প্রবাহিত হয়?,বৃক্ক,1,1
44,ক্ষুদ্রান্ত্রের কোন স্তরে গবলেট কোষ থাকে?,সেরোসা,0,0
45,ভ্রুণ অবস্থায় মাতৃগর্ভে কখন প্রথম হৃদস্পন্দন শুরু হয়?,দশম সপ্তাহ,0,0
46,মাতৃদুগ্ধে কোন ধরনের immunoglobulin থাকে?,IgM,0,0
47,মানুষের হৃদপিন্ডের কোন প্রকোষ্ঠের প্রাচীর সবচেয়ে পুরু?,বাম অলিন্দ,0,0
48,প্রজাপতি' এর প্রতিসাম্যতা কোন ধরনের?,অরীয়,0,0
49,ঘাসফড়িং এর কোন গ্রন্থি থেকে জুভেনাইল হরমোন ক্ষরিত হয়?,প্রোথোরাসিক গ্রন্থি,0,0
50,রক্তে অক্সিজেনের মাত্রা (O₂ saturation) ও হৃদস্পন্দন পরিমাপক যন্ত্রের নাম হল-,থার্মোমিটার,0,0
51,কেঁচো কোন অঙ্গের মাধ্যমে শ্বাসপ্রশ্বাস নেয়?,হৃদপিন্ড,0,0
52,কোন এনজাইম লালা গ্রন্থিতে পাওয়া যায়?,ট্রিপসিন,0,0
53,"কোন রক্ত কনিকা ""cell-mediated immunity” এর সাথে সম্পৃক্ত?",ইওসিনোফিল (Eosinophil),0,0
54,কোনটি autosomal recessive disorder?,লাল-সবুজ বর্ণান্ধতা,0,0
55,কোন এনজাইম আমিষ পরিপাকে সাহায্য করে?,ল্যাকটেজ,0,0
56,কোন পদ্ধতিতে কোভিড ১৯ ভ্যাক্সিন প্রস্তুত করা হয় না?,উপএকক (Subunit vaccine),0,0
57,কোনটি ভাইরাস বৃদ্ধিতে বাঁধা দেয়?,Lactorine,0,0
58,Alveolus থেকে অক্সিজেন রক্তে কিভাবে প্রবেশ করে?,Osmosis,0,0
59,কোনটি Exocrine গ্রন্থি নয়?,Pancreas,0,0
60,কোনটি হাড়ের সাথে পেশি সংযুক্ত করে?,Myofibril,0,0
61,মানবদেহের রক্তে কোন বাফার দ্রবণ (buffer solution) থাকে?,NH4Cl and NH4OH,0,0
62,কোনটি আমিষ পরিপাককারী (digesting) এনজাইম?,Lipase,0,0
63,নেমাটোসিস্টের (Nematocyst) ভিতরে বিষাক্ত তরল পদার্থের নাম কী?,Toxin,0,0
64,ঘাসফড়িং এর রক্ত কণিকার নাম কী?,Leukocyte,1,1
65,ক্ষুদ্রান্ত্রের কোন স্তরে পানপাত্র সেল (Goblet cell) পাওয়া যায়?,Serosa,0,0
66,মাথার খুলিতে কয়টি হাড় রয়েছে?,23,1,1
67,কোনটি attenuated টিকা?,Diphtheria vaccine,0,0
68,কোন কোষ ম্যাক্রোফেজে (macrophages) রূপান্তরিত হয়?,Eosinophil,0,0
69,কোন পদ্ধতিতে Hydra লম্বা দূরত্ব অতিক্রম করে?,ডিগবাজি (somersaulting),1,1
70,কোষের কোথায় ক্রেবস চক্র (Krebs cycle) সংঘটিত হয়?,Cytoplasm,0,0
71,কোন এনজাইম অগ্ন্যাশয়ে নাই?,Maltase,1,1
72,ভ্রূণে লোহিত কণিকাসমূহ নিম্নের কোথায় তৈরি হয়?,থাইমাস,0,0
73,প্রাণিজগতের বৃহত্তম Phylum কোনটি?,Porifera,0,0
74,লিভারের কোন লোবটি পিত্তথলির সাথে সংযুক্ত থাকে?,Quadrate lobe,1,1
75,মানুষের সোমাটিক কোষে কয়টি অটোসোম থাকে?,23,0,0
76,গ্রোথ হরমোন কোথায় তৈরি হয়?,Thalamus,0,0
77,Golgi complex কোনটি সংশ্লেষ (synthesis) করে না?,Sperm,1,1
78,পেসমেকারে কোন ব্যাটারি ব্যবহৃত হয়?,লেড,0,0
79,দ্বিপদ নামকরণের জনক কে?,বেন্থাম হুকার,0,0
80,অন্তঃশ্বসন প্রধানত কোষের কোথায় সংঘটিত হয়?,রাইবোজোম,0,0
81,নিচের কোনটি হিমোসিলোমেট?,কর্ডাটা,0,0
82,কোনটির 6 টি কোডন আছে?,পাইসিন,0,0
83,অত্যাবশ্যকীয় অ্যামিনো এসিড নয় কোনটি?,হিস্টিডিন,0,0
84,ইনসুলিন কোথা থেকে নিঃসৃত হয়?,আলফা কোষ থেকে,0,0
85,মৎস্যখনি বলা হয়?,পালা,0,0
86,অ্যাপেন্ডিক্স কোথায় থাকে?,ক্ষুদ্রান্ত্র,0,0
87,পিত্তথলি কোথায় উন্মুক্ত হয়?,ক্ষুদ্রান্ত্রে,1,1
88,কত BMI কে স্বাভাবিক ওজন হিসেবে ধরা হয়?,25.2-29.1,0,0
89,লোহিত রক্তকণিকার সাথে সম্পৃক্ত নয় কোনটি?,অক্সিজেন পরিবহন,0,0
90,কোনটি O₂ যুক্ত রক্ত পরিবহন করে?,পালমোনারি ধমনী,0,0
91,কোনটি লালাগ্রন্থি নয়?,প্যারোটিড,0,0
92,স্বরযন্ত্রের তরুণাস্থি নয় কোনটি?,থাইরয়েড,0,0
93,শ্রোণী অস্থি নয় কোনটি?,ইলিয়াম,0,0
94,দেহের ভারসাম্য রক্ষা করে কোনটি?,বহিঃকর্ণ,0,0
95,বয়ঃসন্ধিকালে জরায়ু বৃদ্ধি নিয়ন্ত্রণে ভূমিকা নেই কার?,কাইনিন,1,1
96,গ্রন্থিরাজ বলা হয় কোনটিকে?,শুক্রাশয়,0,0
97,মানবদেহে কোন ইউমিউনোগ্লোবিউলিন অনুপস্থিত?,IgM,0,0
98,সেক্স লিঙ্কড জিন নয় কোনটি?,XY,0,0
99,রক্ত জমাট বাধার ফ্যাক্টর নয় কোনটি?,ফাইব্রিনোজেন,0,0
100,নিচের কোন প্রাণীটি ত্রিস্তরী?,অ্যামিবা,0,0
101,রক্তে গ্লুকোজের মাত্রা নিয়ন্ত্রণে কোন সংবহনতন্ত্রের ভূমিকা রয়েছে?,পালমোনারি,0,0
102,মূত্রে অস্বাভাবিক হারে অ্যালবুমিন নির্গত হওয়াকে কী বলে?,নেফ্রাইটিস,0,0
103,কোনটি মুখমন্ডলের অস্থি নয়?,নাসিকা অস্থি,0,0
104,উদরীয় টনসিল নামে পরিচিত কোনটি?,কোলন,0,0
105,পরিপাক সংবহনের কাজ দুটি সম্পাদন করে-,হিমোসিল,0,0
106,নাইট্রোজেন সংবন্ধন করে নিচের কোনটি?,Azotobacter,1,1
107,কোনটি বহুরূপী ব্যাকটেরিয়া?,Vibrio cholerae,0,0
108,রুই মাছের আঁশের বৃদ্ধি কোন সময়ে বেশি হয়?,শীতকালে,0,0
109,কোন গ্রন্থির ক্ষরণকাল আজীবন নয়?,সুপ্রারেনাল,0,0
110,প্রতিবর্তী ক্রিয়া নিয়ন্ত্রিত হয় কোন অঙ্গ দ্বারা?,মস্তিষ্ক,0,0
111,রেচনতন্ত্র শিখাকোষ নিয়ে গঠিত কোন পর্বের প্রাণীর?,নিডারিয়া,0,0
112,নিচের কোনটি শ্বাসরঞ্জক নয়?,হিমোগ্লোবিন,0,0
113,Erythoprotein কোথায় তৈরি হয়?,ফুসফুস,0,0
114,এন্টিবডির গড়ন দেখতে কোন প্রকৃতির?,X- আকৃতির,1,1
115,কোন এনজাইম ব্যাকটেরিয়া ধ্বংস করে?,পেপসিন,0,0
116,হিমোগ্লোবিনের কোন অংশে CO₂ যুক্ত হয়?,-OH,0,0
117,সরিসৃপের যুগ কোনটি?,প্যালিওজয়িক,0,0
118,কোন প্রাণীর ক্ষেত্রে পুরুষ অপেক্ষা স্ত্রীতে একটি ক্রোমোজোম বেশী থাকে?,মানুষ,0,0
119,সবচেয়ে বেশি খাদ্যসার শ্যোবত হয়-,ডিউডেনাম,0,0
120,নিচের কোন কোষ যেকোনো ধরনের কোষে পরিণত হতে পারে?,নিডোরাস্ট কোষ,0,0
121,প্লাজমার কোন উপাদান রক্তক্ষরণ বন্ধে সহায়তা করে?,সেরোটোনিন,0,0
122,বর্ণান্ধ বাবা ও স্বাভাবিক দৃষ্টির মায়ের (বাহক নয়) কন্যা সন্তানের স্বাভাবিক দৃষ্টির সম্ভাব্য হার কত?,75%,0,0
123,রাইবোজ-,60°C তাপে গলে,0,0
124,নিচের কোনটি লাইসোসোম (Lysosome) এর বৈশিষ্ট্য?,বিক্ষিপ্তভাবে সাইটোপ্লাজমে থাকে,1,1
125,কোন পর্বের প্রাণীতে র ্যাবডিটিফর্ম লার্ভা দশা দেখা যায়?,Platyhelminthes,0,0
126,নিচের কোনটিতে অরীয় প্রতিসাম্য দেখা যায়?,শামুক,0,0
127,মুখমন্ডলীয় অস্থিতে প্যালেটিন এর সংখ্যা কত?,৫,0,0
128,রেটিনার কোন ধরনের কোষ থেকে অপটিক স্নায়ু তৈরী হয়?,রড কোষ,0,0
129,নিচের কোন দুইটি অস্থি । আকৃতির?,"হাইওয়েড, ভোমার",0,0
130,হাইড্রা সামারসল্টিং চলনে একবার চললে কয়টি লুপ তৈরী করে?,৩টি,0,0
131,অগ্রবক্ষের বড় এবং চওড়া অংশের নাম কি?,এলিট্রা,0,0
132,রুই মাছের ক্ষেত্রে নিচের কোনটি সঠিক নয়?,রক্তের বর্ণ লাল,1,1
133,পোডোসাইট কোথায় পাওয়া যায়?,PCT,0,0
134,হাইড্রার দেহের Life Playing Guest বলা হয় কাকে?,Penicillium,0,0
135,কোনটির অভাবে টিটেনি হয়?,থাইরক্সিন,0,0
136,ইঁদুর এর ক্ষেত্রে কোনটি ফিনাইল এলানিন কোড করে?,UUA,0,0
137,Tidal Volume এর মান কত?,400 mL,0,0
138,New Born Baby এর ক্ষেত্রে প্রতি মিনিটে হৃদস্পন্দন হার কত?,১১০-১৫০,1,1
139,সুপারফিশিয়াল কটিক্যাল নেফ্রন কত শতাংশ?,25%,0,0
140,ক্ল্যাভিকল অ্যারোমিয়াল প্রান্ত দিয়ে কার সাথে যুক্ত হয়?,স্টার্নাম,0,0
141,নিম্নের কোনটি ভ্রূণের এক্টোডার্ম থেকে তৈরি হয়?,কঙ্কালতন্ত্র,0,0
142,এনজাইনার ব্যাথা কতক্ষণ স্থায়ী হয়?,১০-১৫ মিনিট,0,0
143,ক্লোরোকুইন ওষুধ কোথায় শোষিত হয়?,পাকস্থলী,0,0
144,শ্বাসনালি কোন ধরনের তরুনাস্থি নির্মিত?,ক্যালসিফাইট,0,0
145,মানবদেহের দীর্ঘতম কোষ কোনটি?,মায়োসাইট,0,0
146,কোন ভিটামিন কোলেস্টেরল থেকে উৎপন্ন হয়?,ভিটামিন-ই,0,0
147,প্রাণীর নখে কোন ধরনের প্রোটিন থাকে?,কোলাজেন,0,0
148,কোন ব্যাকটেরিয়া ভিটামিন উৎপন্ন করে?,Pseudomonas,0,0
149,05. দেহের জন্যে ভালো কোলোস্টেরল কোনটি?,LDL,0,0
150,মানবদেহের সুনির্দিষ্ট প্রতিরক্ষায় তৃতীয় জ্বরে কাজ করে কোনটি?,সাইটোকাইনস,0,0
151,কোন লালাগ্রন্থির ভাইরাসজনিত সংক্রমণকে মাম্পস বলে?,সাবমেন্টাল,0,0
152,মেরুদন্ডের কোন অংশে সবচেয়ে বেশি কশেরুকা থাকে?,লাম্বার,0,0
153,ট্রিপসিন জারকের জন্যে সঠিক কোনটি?,লিপিডের উপর কাজ করে,0,0
154,পূর্ণবয়স্ক সুস্থ মানুষের দু'টি ফুসফুসে আলভিওলাসের সংখ্যা কত?,২৫০ মিলিয়ন,0,0
155,নিচের কোনটিতে রেনাল পোর্টাল সিস্টেম উন্নত ধরণের?,মানুষ,0,0
156,মানবদেহের সবচেয়ে ছোট অস্থি কোনটি?,ইনকাস,0,0
157,মানবদেহে অক্সিজেন পরিবহনে কোনটি সঠিক?,চার অণু হিমোগ্লোবিনের সাথে এক অণু অক্সিজেন মিলিত হয়,0,0
158,কোন রক্তকণিকা হিস্টামিন নিঃসরণ করে?,অণুচক্রিকা,0,0
159,রক্ততঞ্চনের কোন ফ্যাক্টরকে স্ট্যাবল ফ্যাক্টর বলে?,ফ্যাক্টর IX,0,0
160,করোনারী হৃদরোগ নির্ণয়ে প্রথম পরীক্ষা কোনটি?,লিপিড প্রোফাইল,0,0
161,বি এম আই (BMI) 37 kg/m² হলে তা স্থূলতার কোন স্তর?,অতিরিক্ত ওজন,0,0
162,এপিগ্লটিসে কোন ধরনের তরুণাস্থি থাকে?,হায়ালিন,0,0
163,মানবদেহে খনিজ লবণ (mineral) এর কাজ কি?,রোগ প্রতিরোধশক্তি বৃদ্ধি,0,0
164,একজন প্রাপ্তবয়স্ক মানুষের উপরের পাটির দন্ত-সংকেত কোনটি?,I2C2PM3M1,0,0
165,মানুষের হৃৎপিন্ডের বৈশিষ্ট্য কোনটি?,শরীরে CO₂ সমৃদ্ধ রক্ত সঞ্চালন করে,0,0
166,"মানুষ সর্বভুক প্রাণি। কারণ, মানুষের-",পেষণ ও কর্তন দাঁত আছে,1,1
167,লসিকার (lymph) বৈশিষ্ট্য কোনটি?,শর্করা ও আমিষ পরিবহন করে,0,0
168,নিঃশ্বাস প্রক্রিয়ায় কোনটি সঠিক?,ডায়াফ্রাম নিচের দিকে নামে,1,1
169,মানুষের দাঁত কোন ধরণের?,লোফোডন্ট,0,0
170,কোন গ্রন্থি আমিষ শোষণ নিয়ন্ত্রণ করে?,যকৃত,0,0
171,খাদ্যের ব্যাকটেরিয়া ধ্বংস করে দাঁতকে রক্ষা করে কোনটি?,অ্যামাইলেজ,0,0
172,ধমনি বিষয়ে কোনটি সঠিক?,রক্ত প্রবাহ দেহের প্রান্ত থেকে হৃদপিন্ডের দিকে,0,0
173,নিচের কোনটি সেক্স লিংকড (Sex-linked) রোগ নয়?,সবগুলো,0,0
174,নিচের কোন প্রক্রিয়াটি কোষের জেনেটিক্যালি নিয়ন্ত্রিত মৃত্যু?,Epistasis,0,0
175,জিহ্বার কোন অংশে লবণাক্ত স্বাদ অনুভূত হয়?,পশ্চাৎদেশ,0,0
176,"চিকিৎসা বিদ্যার কোন শাখায় স্থূলতার কারণ, প্রতিরোধ ও চিকিৎসা সম্বন্ধে আলোচনা করা হয়?",Obesity,0,0
177,নিচের কোনটি হ্যাগফিশ (Hagfish) নামে পরিচিত?,Agnatha,1,1
178,"চিকিৎসা বিদ্যার কোন শাখায় স্থূলতার কারণ, প্রতিরোধ ও চিকিৎসা সম্বন্ধে আলোচনা করা হয়?",Obesity,0,0
179,নিচের কোনটি মেগাক্যারিওসাইট (Megakaryocytes) থেকে উৎপত্তি লাভ করে?,মনোসাইট,0,0
180,গলগণ্ড রোগ হয় কোনটির অভাবে?,Zink,0,0
181,একটি জিন অন্য জিনের কার্যকারিতা প্রকাশে বাধা দেয়ার প্রক্রিয়াকে কি বলে?,Hypostasis,1,1
182,কোন প্রানির হৃৎপিন্ডকে ভেনাস হার্ট বলে?,মানুষ,0,0
183,কোন ভিটামিন কোলেস্টেরল থেকে উৎপন্ন হয়?,Vit-A,0,0
184,নিচের কোনটি সঠিক-,মাইটোকন্ড্রিয়ার ৯০% চর্বি,0,0
185,এক জোড়া ক্রোমোসোম এক সাথে অবস্থান করলে তাকে কি বলে?,হোমোলোগাস,1,1
186,কোন অঙ্গাণু তে নিজস্ব ডিএনএ পাওয়া যায়?,নিউক্লিয়াই,0,0
187,মাইটোসিস কোষ বিভাজনের কোন ক্ষেত্রে মেটাকাইনেসিস (Metakinesis) সংঘটিত হয়?,এনাফেজ,0,0
188,কোন প্রক্রিয়ায় RNA হতে DNA তৈরি হয়?,ট্রান্সলেশন,0,0
189,মানব শরীরে কোন লিপিড (Lipid) টি সবচেয়ে বেশী থাকে?,ট্রাই এ্যাসাইল গ্লিসারল,1,1
190,লার্ভা (Larva) কে সচারচর কোন নামে ডাকা হয়?,Nematoda,0,0
191,নিচের কোন এনজাইমটি পিত্তরস (Bile) এ থাকে?,ট্রিপসিন,0,0
192,নিচের কোনটি সাগর ফোয়ারা (Sea squirt) নামে পরিচিত?,Echinodartala,0,0
193,নিচের কোনটি চর্বিতে দ্রবণীয় ভিটামিন নয়?,ভিটামিন কে,0,0
194,নিচের কোনটি পাকস্থলীর প্যারাইটাল সেল থেকে নিঃসৃত হয়?,পেপসিন,0,0
195,নিচের কোন প্লাজমা প্রোটিন (Plasma protein) টি লিভারে তৈরী হয় না?,Fibrinogen,0,0
196,নিচের কোন ভিটামিন মানব দেহে তৈরী হয়?,থায়ামিন,0,0
197,প্যানক্রিয়াসের আইলেটস অব ল্যাঙ্গার হ্যান্স এর কোন কোষ (Cells) থেকে ইনসুলিন নিঃসৃত হয়?,আলফা কোষ,0,0
198,এমআরআই (MRI) এর অর্থ কি?,Molecular Resonance Imaging,0,0
199,নিচের কোনটি যকৃতের সবচেয়ে বড় খন্ড (Lobe)?,Quadrate lobe,0,0
200,প্রাণিজগতের ক্ষুদ্রতম পর্ব (Phylum) কোনটি?,Arthropoda,0,0
201,আবরণী কলার নিচের কোনটি নড়াচড়ার কাজে ব্যবহৃত হয়?,ডেসমোসোম,0,0
202,শ্বসনতন্ত্রের উৎপত্তি কোথা থেকে হয়?,Ectoderm,0,0
203,সিক্রেটিন নিঃসৃত হয় কোথায় থেকে?,Stomach,0,0
204,রক্তের pH কত?,5.8,0,0
205,হাইড্রার চলন নয় কোনটি?,সমারসল্টিং,0,0
206,কম্বোজ প্রাণি কোনটি?,একাইনোডার্মাটা,0,0
207,রেচনতন্ত্র শিখা কোষ দিয়ে কোনটি গঠিত?,Toxascaris leonina,0,0
208,নিডোব্লাস্টের কাজ নয় কোনটি?,খাদ্যগ্রহণ,1,1
209,ঘাস ফড়িং এর শ্রেণি বিন্যাস নয় কোনটি?,Class: Insecta,0,0
210,যকৃতের আবরণ কোনটি?,পুরা,0,0
211,কোনটি ওজন বাড়ায় না?,শর্করা,0,0
212,ফাইব্রিন জালক সৃষ্টি করে কত নং ফ্যাক্টর?,ফ্যাক্টর-০৫,0,0
213,ম্যক্রোলেসিথাল কার ডিম্বাণু?,রুই মাছ,0,0
214,কোন পর্বের প্রাণিদের Plannula লার্ভা দশা রয়েছে?,Nematoda,0,0
215,মানবদেহে বৃক্কের মাধ্যমে প্রতি মিনিটে কী পরিমাণ রক্ত প্রবাহিত হয়?,1000 ঘনসেমি,0,0
217,আইলেটস অব ল্যাঙ্গারহ্যানস এর কোষ নয় কোনটি?,আলফা,0,0
218,নিচের কোন কোষ এন্টিবডি তৈরি করে?,হেল্পার T কোষ,0,0
219,পৌষ্টিক নালির প্রাচীরে বিকশিত লসিকা নালিদের কি বলে?,কাইম,0,0
220,শ্বাসনালি কোন ধরনের তরুনাস্থি নির্মিত?,ক্যালসিফাইট,0,0
221,কোনটি ভাইরাস বৃদ্ধিতে বাঁধা দেয়?,Lactorine,0,0
222,Alveolus থেকে অক্সিজেন রক্তে কিভাবে প্রবেশ করে?,Osmosis,0,0
223,কোনটি Exocrine গ্রন্থি নয়?,Pancreas,0,0
224,কোনটি হাড়ের সাথে পেশি সংযুক্ত করে?,Myofibril,0,0
225,মানবদেহের রক্তে কোন বাফার দ্রবণ (buffer solution) থাকে?,NH₄Cl and NH₄OH,0,0
226,কোনটি আমিষ পরিপাককারী (digesting) এনজাইম?,Lipase,0,0
227,নেমাটোসিস্টের (Nematocyst) ভিতরে বিষাক্ত তরুণ পদার্থের নাম কী?,Toxin,1,1
228,ঘাসফড়িং এর রক্ত কণিকার নাম কী?,Leukocyte,1,1
229,ক্ষুদ্রান্ত্রের কোন জ্বরে পানপাত্র সেল (Goblet cell) পাওয়া যায়?,Serosa,0,0
230,মাথার খুলিতে কয়টি হাড় রয়েছে?,23,1,1
231,কোন কোষ ম্যাক্রোফেজে (macrophages) রূপান্তরিত হয়?,Eosinophil,0,0
232,কোনটি attenuated টিকা?,Diphtheria vaccine,0,0
233,কোন পদ্ধতিতে Hydra লম্বা দূরত্ব আক্রম করে?,ডিগবাজি (somersaulting),1,1
234,কোষের কোথায় ক্রেবস চক্র (Krebs cycle) সংঘটিত হয়?,Cytoplasm,0,0
235,কোন এনজাইম অগ্ন্যাশয়ে নাই?,Maltase,1,1
236,প্রাণিজগতের বৃহত্তম Phylum কোনটি?,Porifera,0,0
237,লিভারের কোন লোবটি পিত্তথলির সাথে সংযুক্ত থাকে?,Quadrate lobe,1,1
238,গ্রোথ হরমোন কোথায় তৈরি হয়?,Thalamus,0,0
239,Golgi complex কোনটি সংশ্লেষ (synthesis) করে না?,Sperm,1,1
240,ভ্রূণে লোহিত কণিকাসমূহ নিম্নের কোথায় তৈরি হয়?,থাইমাস,0,0
241,নিচের কোন গ্রন্থিটি ভিন্ন প্রকৃতির?,শুক্রাশয়,1,1
242,কবুতর' কোন শ্রেণির প্রাণী?,Amphibia,0,0
243,মানবদেহের কোন অঙ্গ ফিব্রিনোজেন তৈরি করে?,ক্ষুদ্রান্ত্র,0,0
244,নিচের কোনটি দ্বিস্তরী?,ফিতা কৃমি,0,0
245,সবচেয়ে বেশি খাদ্যসার শোষণ হয় কোথায়?,সিকামে,0,0
246,সর্বজনীন গ্রহীতা Blood group কোনটি?,O,0,0
247,মানবদেহের কোন অঙ্গে সর্বোচ্চ সংখ্যক গবলেট কোষ পাওয়া যায়?,যকৃত,0,0
248,হৃৎপিণ্ডে অবস্থিত কোন সংযোগকারী কলা (Junctional tissue) কে পেসমেকার বলা হয়?,অ্যাট্রিও-ভেনট্রিকুলার নোড,0,0
249,ঘাসফড়িং এর হেপাটিক সিকা কয়টি?,8,0,0
250,পাকস্থলির কোন কোষ থেকে হাইড্রোক্লোরিক এসিড নিঃসৃত হয়?,জি-কোষ,0,0
251,নিচের কোন অঙ্গ ইরাইস্ট্রোপোয়েটিন (Erythropoietin) উৎপাদন করে?,ফুসফুস,0,0
252,শ্বাসতন্ত্রের কোন অংশে গ্যাসীয় বিনিময় হয়?,ট্রাকিয়া,0,0
253,প্যারাসিমপ্যাথেটিক স্নায়ু নিচের কোন করোটিক স্নায়ুতে পাওয়া যায়?,ট্রকলিয়ার,0,0
254,হাইড্রার কোন অংশে নিডোসাইট কোষ সবচেয়ে বেশি থাকে?,দেহ প্রাচীর,0,0
255,নিচের কোনটিতে ঐচ্ছিক পেশি পাওয়া যায়?,জরায়ু,0,0
256,কোন রক্ত কণিকা অ্যান্টিবডি তৈরি করে?,বেসোফিল,0,0
257,আন্তঃকশেরুকা চাকতিতে কী ধরনের তরুণাস্থি পাওয়া যায়?,স্থিতিস্থাপক তরুণাস্থি,0,0
258,মাইটোসিসে কোষের ভিতয়ে নিউক্লিয়াসের বিভাজনকে কী বলে?,অ্যামাইটোসিস,0,0
259,নিচের কোনটি রক্তনালির সংকোচন ঘটিয়ে রক্তপাত হ্রাস করে?,প্রোম্বোপ্লাস্টিন,0,0
260,নিচের কোন হরমোনটি রক্তে সোডিয়ামের মাত্রা নিয়ন্ত্রণ করে?,গ্লুকাগন,0,0
261,নিচের কোনটি মিশ্র করোটিক স্নায়ু (Mixed cranial nerve) নয়?,গ্লসোফ্যারিঞ্জিয়াল,0,0
262,কোন প্রক্রিয়ায় নিউক্লিয়াসের বিভাজন ঘটে?,সাইটোকাইনেসিস,0,0
