serial_no,question,answer,model_raw_response,isCorrect
61,মানবদেহের রক্তে কোন বাফার দ্রবণ (buffer solution) থাকে?,CH3COONa and CH3COOH,1,1
62,কোনটি আমিষ পরিপাককারী (digesting) এনজাইম?,Lactase,0,0
63,নেমাটোসিস্টের (Nematocyst) ভিতরে বিষাক্ত তরল পদার্থের নাম কী?,Hemocyanin,0,0
64,ঘাসফড়িং এর রক্ত কণিকার নাম কী?,Erythrocyte,0,0
65,ক্ষুদ্রান্ত্রের কোন স্তরে পানপাত্র সেল (Goblet cell) পাওয়া যায়?,Muscularis mucosa,0,0
66,মাথার খুলিতে কয়টি হাড় রয়েছে?,33,0,0
67,কোনটি attenuated টিকা?,Hepatitis B vaccine,0,0
68,কোন কোষ ম্যাক্রোফেজে (macrophages) রূপান্তরিত হয়?,Basophil,0,0
69,কোন পদ্ধতিতে Hydra লম্বা দূরত্ব অতিক্রম করে?,সাঁতার,0,0
70,কোষের কোথায় ক্রেবস চক্র (Krebs cycle) সংঘটিত হয়?,Ribosome,0,0
71,কোন এনজাইম অগ্ন্যাশয়ে নাই?,Trypsin,0,0
72,ভ্রূণে লোহিত কণিকাসমূহ নিম্নের কোথায় তৈরি হয়?,অগ্ন্যাশয়,0,0
73,প্রাণিজগতের বৃহত্তম Phylum কোনটি?,Mollusca,0,0
74,লিভারের কোন লোবটি পিত্তথলির সাথে সংযুক্ত থাকে?,Left lobe,0,0
75,মানুষের সোমাটিক কোষে কয়টি অটোসোম থাকে?,22,1,1
76,গ্রোথ হরমোন কোথায় তৈরি হয়?,Hypothalamus,0,0
77,Golgi complex কোনটি সংশ্লেষ (synthesis) করে না?,Lysosome,1,1
78,পেসমেকারে কোন ব্যাটারি ব্যবহৃত হয়?,পটাশিয়াম,0,0
79,দ্বিপদ নামকরণের জনক কে?,থিওফ্রাস্টাস,0,0
80,অন্তঃশ্বসন প্রধানত কোষের কোথায় সংঘটিত হয়?,প্রোটপ্লাজম,0,0
81,নিচের কোনটি হিমোসিলোমেট?,অ্যানিলিডা,0,0
82,কোনটির 6 টি কোডন আছে?,GCU,0,0
83,অত্যাবশ্যকীয় অ্যামিনো এসিড নয় কোনটি?,আইসোলিউসিন,0,0
84,ইনসুলিন কোথা থেকে নিঃসৃত হয়?,লিভার হতে,0,0
85,মৎস্যখনি বলা হয়?,পেরেক,0,0
86,অ্যাপেন্ডিক্স কোথায় থাকে?,পাকস্থলি,0,0
87,পিত্তথলি কোথায় উন্মুক্ত হয়?,বৃহদ্রান্ত্রে,1,1
88,কত BMI কে স্বাভাবিক ওজন হিসেবে ধরা হয়?,21.5-23.9,0,0
89,লোহিত রক্তকণিকার সাথে সম্পৃক্ত নয় কোনটি?,কার্বন ডাই-অক্সাইড পরিবহন,0,0
90,কোনটি O₂ যুক্ত রক্ত পরিবহন করে?,ফুসফুসীয় শিরা,0,0
91,কোনটি লালাগ্রন্থি নয়?,সাবিন্ডিবুলার,0,0
92,স্বরযন্ত্রের তরুণাস্থি নয় কোনটি?,এরিটিনয়েড,0,0
93,শ্রোণী অস্থি নয় কোনটি?,ইশ্চিয়াম,0,0
94,দেহের ভারসাম্য রক্ষা করে কোনটি?,মধ্যাকর্ণ,0,0
95,বয়ঃসন্ধিকালে জরায়ু বৃদ্ধি নিয়ন্ত্রণে ভূমিকা নেই কার?,থাইরক্সিন,0,0
96,গ্রন্থিরাজ বলা হয় কোনটিকে?,অগ্নাশয়,0,0
97,মানবদেহে কোন ইউমিউনোগ্লোবিউলিন অনুপস্থিত?,IgD,1,1
98,সেক্স লিঙ্কড জিন নয় কোনটি?,XX,0,0
99,রক্ত জমাট বাধার ফ্যাক্টর নয় কোনটি?,ফাইব্রিন,0,0
100,নিচের কোন প্রাণীটি ত্রিস্তরী?,হাইড্রা,0,0
101,রক্তে গ্লুকোজের মাত্রা নিয়ন্ত্রণে কোন সংবহনতন্ত্রের ভূমিকা রয়েছে?,সিস্টেমিক,0,0
102,মূত্রে অস্বাভাবিক হারে অ্যালবুমিন নির্গত হওয়াকে কী বলে?,পলিইউরিয়া,0,0
103,কোনটি মুখমন্ডলের অস্থি নয়?,ল্যাক্রিমাল,0,0
104,উদরীয় টনসিল নামে পরিচিত কোনটি?,মলাশয়,0,0
105,পরিপাক সংবহনের কাজ দুটি সম্পাদন করে-,লসিকা,0,0
106,নাইট্রোজেন সংবন্ধন করে নিচের কোনটি?,Pseudomonas,1,1
107,কোনটি বহুরূপী ব্যাকটেরিয়া?,Bacills albus,0,0
108,রুই মাছের আঁশের বৃদ্ধি কোন সময়ে বেশি হয়?,শরৎকালে,1,1
109,কোন গ্রন্থির ক্ষরণকাল আজীবন নয়?,পিনিয়াল,0,0
110,প্রতিবর্তী ক্রিয়া নিয়ন্ত্রিত হয় কোন অঙ্গ দ্বারা?,বুদ্ধি,0,0
111,রেচনতন্ত্র শিখাকোষ নিয়ে গঠিত কোন পর্বের প্রাণীর?,আর্থোপোডা,0,0
112,নিচের কোনটি শ্বাসরঞ্জক নয়?,হিমোসায়ানিন,1,1
113,Erythoprotein কোথায় তৈরি হয়?,যকৃত,0,0
114,এন্টিবডির গড়ন দেখতে কোন প্রকৃতির?,I- আকৃতির,0,0
115,কোন এনজাইম ব্যাকটেরিয়া ধ্বংস করে?,মল্টেজ,0,0
116,হিমোগ্লোবিনের কোন অংশে CO₂ যুক্ত হয়?,-COOH,0,0
117,সরিসৃপের যুগ কোনটি?,সিনোজয়িক,1,1
118,কোন প্রাণীর ক্ষেত্রে পুরুষ অপেক্ষা স্ত্রীতে একটি ক্রোমোজোম বেশী থাকে?,কবুতর,1,1
119,সবচেয়ে বেশি খাদ্যসার শ্যোবত হয়-,ইলিয়াম,0,0
120,নিচের কোন কোষ যেকোনো ধরনের কোষে পরিণত হতে পারে?,সংবেদী কোষ,0,0
121,প্লাজমার কোন উপাদান রক্তক্ষরণ বন্ধে সহায়তা করে?,আলবুমিন,0,0
122,বর্ণান্ধ বাবা ও স্বাভাবিক দৃষ্টির মায়ের (বাহক নয়) কন্যা সন্তানের স্বাভাবিক দৃষ্টির সম্ভাব্য হার কত?,50%,0,0
123,রাইবোজ-,ডিএনএ (DNA) এর মূল উপাদান,0,0
124,নিচের কোনটি লাইসোসোম (Lysosome) এর বৈশিষ্ট্য?,বাহ্যিক আবরণী দ্বারা আবৃত থাকে না,0,0
125,কোন পর্বের প্রাণীতে র ্যাবডিটিফর্ম লার্ভা দশা দেখা যায়?,Echinodermata,0,0
126,নিচের কোনটিতে অরীয় প্রতিসাম্য দেখা যায়?,মানুষ,1,1
127,মুখমন্ডলীয় অস্থিতে প্যালেটিন এর সংখ্যা কত?,১,0,0
128,রেটিনার কোন ধরনের কোষ থেকে অপটিক স্নায়ু তৈরী হয়?,কোণ কোষ,0,0
129,নিচের কোন দুইটি অস্থি । আকৃতির?,"হাইওয়েড, ম্যাক্সিলা",0,0
130,হাইড্রা সামারসল্টিং চলনে একবার চললে কয়টি লুপ তৈরী করে?,১টি,0,0
131,অগ্রবক্ষের বড় এবং চওড়া অংশের নাম কি?,টারসাল,0,0
132,রুই মাছের ক্ষেত্রে নিচের কোনটি সঠিক নয়?,নিউক্লিয়াসযুক্ত লোহিত রক্তকণিকা,0,0
133,পোডোসাইট কোথায় পাওয়া যায়?,DCT,0,0
134,হাইড্রার দেহের Life Playing Guest বলা হয় কাকে?,Chlorohydra,0,0
135,কোনটির অভাবে টিটেনি হয়?,ইনসুলিন,0,0
136,ইঁদুর এর ক্ষেত্রে কোনটি ফিনাইল এলানিন কোড করে?,UUG,0,0
137,Tidal Volume এর মান কত?,200 mL,0,0
138,New Born Baby এর ক্ষেত্রে প্রতি মিনিটে হৃদস্পন্দন হার কত?,১৩০-১৪০,1,1
139,সুপারফিশিয়াল কটিক্যাল নেফ্রন কত শতাংশ?,10%,0,0
140,ক্ল্যাভিকল অ্যারোমিয়াল প্রান্ত দিয়ে কার সাথে যুক্ত হয়?,হিউমেরাস,0,0
141,নিম্নের কোনটি ভ্রূণের এক্টোডার্ম থেকে তৈরি হয়?,রক্ত সংবহনতন্ত্র,0,0
142,এনজাইনার ব্যাথা কতক্ষণ স্থায়ী হয়?,১৫-৩০ মিনিট,1,1
143,ক্লোরোকুইন ওষুধ কোথায় শোষিত হয়?,বৃহদান্ত্র,1,1
144,শ্বাসনালি কোন ধরনের তরুনাস্থি নির্মিত?,শ্বেত তন্তুময়,0,0
145,মানবদেহের দীর্ঘতম কোষ কোনটি?,স্পারম্যাটোসাইট,0,0
146,কোন ভিটামিন কোলেস্টেরল থেকে উৎপন্ন হয়?,ভিটামিন-এ,0,0
147,প্রাণীর নখে কোন ধরনের প্রোটিন থাকে?,ফাইব্রিন,0,0
148,কোন ব্যাকটেরিয়া ভিটামিন উৎপন্ন করে?,Agrobacterium,0,0
149,05. দেহের জন্যে ভালো কোলোস্টেরল কোনটি?,VLDL,0,0
150,মানবদেহের সুনির্দিষ্ট প্রতিরক্ষায় তৃতীয় জ্বরে কাজ করে কোনটি?,ফ্যাগোসাইটস,0,0
151,কোন লালাগ্রন্থির ভাইরাসজনিত সংক্রমণকে মাম্পস বলে?,সাবম্যান্ডিবুলার,0,0
152,মেরুদন্ডের কোন অংশে সবচেয়ে বেশি কশেরুকা থাকে?,স্যাক্রনল,0,0
153,ট্রিপসিন জারকের জন্যে সঠিক কোনটি?,হাইড্রোক্লোরিক এসিডের মাধ্যমে সক্রিয় হয়,0,0
154,পূর্ণবয়স্ক সুস্থ মানুষের দু'টি ফুসফুসে আলভিওলাসের সংখ্যা কত?,৫০০ মিলিয়ন,1,1
155,নিচের কোনটিতে রেনাল পোর্টাল সিস্টেম উন্নত ধরণের?,বানর,1,1
156,মানবদেহের সবচেয়ে ছোট অস্থি কোনটি?,ম্যালিয়াস,0,0
157,মানবদেহে অক্সিজেন পরিবহনে কোনটি সঠিক?,pH এর মাত্রা কমলে হিমোগ্লোবিনের আকর্ষণ বাড়ে,0,0
158,কোন রক্তকণিকা হিস্টামিন নিঃসরণ করে?,নিউট্রোফিল,0,0
159,রক্ততঞ্চনের কোন ফ্যাক্টরকে স্ট্যাবল ফ্যাক্টর বলে?,ফ্যাক্টর VIII,0,0
160,করোনারী হৃদরোগ নির্ণয়ে প্রথম পরীক্ষা কোনটি?,ই. টি. টি,0,0
161,বি এম আই (BMI) 37 kg/m² হলে তা স্থূলতার কোন স্তর?,প্রথম স্তর,0,0
162,এপিগ্লটিসে কোন ধরনের তরুণাস্থি থাকে?,শ্বেততন্ত্রময়,0,0
163,মানবদেহে খনিজ লবণ (mineral) এর কাজ কি?,তাপ শক্তি উৎপাদন,0,0
164,একজন প্রাপ্তবয়স্ক মানুষের উপরের পাটির দন্ত-সংকেত কোনটি?,I2C2PM2M1,0,0
165,মানুষের হৃৎপিন্ডের বৈশিষ্ট্য কোনটি?,সাইনাস ভেনোসাস আছে,0,0
166,"মানুষ সর্বভুক প্রাণি। কারণ, মানুষের-",অগ্রপেষণ ও পেষণ দাঁত আছে,1,1
167,লসিকার (lymph) বৈশিষ্ট্য কোনটি?,ছোট ছোট শিরা দ্বারা বাহিত হয়,0,0
168,নিঃশ্বাস প্রক্রিয়ায় কোনটি সঠিক?,স্নায়ু কার্যকলাপ দ্বারা পরিচালিত হয়,1,1
169,মানুষের দাঁত কোন ধরণের?,সেলেনোডন্ট,0,0
170,কোন গ্রন্থি আমিষ শোষণ নিয়ন্ত্রণ করে?,অগ্ন্যাশয়,1,1
171,খাদ্যের ব্যাকটেরিয়া ধ্বংস করে দাঁতকে রক্ষা করে কোনটি?,মিউসিন,0,0
172,ধমনি বিষয়ে কোনটি সঠিক?,প্রাচীর অস্থিতিস্থাপক,0,0
173,নিচের কোনটি সেক্স লিংকড (Sex-linked) রোগ নয়?,বর্ণান্ধতা,0,0
174,নিচের কোন প্রক্রিয়াটি কোষের জেনেটিক্যালি নিয়ন্ত্রিত মৃত্যু?,Hypostasis,0,0
175,জিহ্বার কোন অংশে লবণাক্ত স্বাদ অনুভূত হয়?,মধ্যভাগ,0,0
176,"চিকিৎসা বিদ্যার কোন শাখায় স্থূলতার কারণ, প্রতিরোধ ও চিকিৎসা সম্বন্ধে আলোচনা করা হয়?",Geriatrics,0,0
177,নিচের কোনটি হ্যাগফিশ (Hagfish) নামে পরিচিত?,Larvacea,0,0
178,"চিকিৎসা বিদ্যার কোন শাখায় স্থূলতার কারণ, প্রতিরোধ ও চিকিৎসা সম্বন্ধে আলোচনা করা হয়?",Geriatrics,0,0
179,নিচের কোনটি মেগাক্যারিওসাইট (Megakaryocytes) থেকে উৎপত্তি লাভ করে?,লিম্ফোসাইট,0,0
180,গলগণ্ড রোগ হয় কোনটির অভাবে?,Iron,0,0
181,একটি জিন অন্য জিনের কার্যকারিতা প্রকাশে বাধা দেয়ার প্রক্রিয়াকে কি বলে?,Codominance,0,0
182,কোন প্রানির হৃৎপিন্ডকে ভেনাস হার্ট বলে?,হাইড্রা,0,0
183,কোন ভিটামিন কোলেস্টেরল থেকে উৎপন্ন হয়?,biotin.,0,0
184,নিচের কোনটি সঠিক-,প্রোটিন সঞ্চয় করে ইলায়োপ্ল্যাস্ট,0,0
185,এক জোড়া ক্রোমোসোম এক সাথে অবস্থান করলে তাকে কি বলে?,হেটারোজাইগাস,0,0
186,কোন অঙ্গাণু তে নিজস্ব ডিএনএ পাওয়া যায়?,গলগী বডি,0,0
187,মাইটোসিস কোষ বিভাজনের কোন ক্ষেত্রে মেটাকাইনেসিস (Metakinesis) সংঘটিত হয়?,প্রফেজ,0,0
188,কোন প্রক্রিয়ায় RNA হতে DNA তৈরি হয়?,ট্রান্সক্রিপশন,0,0
189,মানব শরীরে কোন লিপিড (Lipid) টি সবচেয়ে বেশী থাকে?,লাইপোপ্রোটিন,0,0
190,লার্ভা (Larva) কে সচারচর কোন নামে ডাকা হয়?,Cnidaria,0,0
191,নিচের কোন এনজাইমটি পিত্তরস (Bile) এ থাকে?,এ্যামাইলেজ,0,0
192,নিচের কোনটি সাগর ফোয়ারা (Sea squirt) নামে পরিচিত?,Cephalochordata,0,0
193,নিচের কোনটি চর্বিতে দ্রবণীয় ভিটামিন নয়?,ভিটামিন এ,0,0
194,নিচের কোনটি পাকস্থলীর প্যারাইটাল সেল থেকে নিঃসৃত হয়?,মিউসিন,0,0
195,নিচের কোন প্লাজমা প্রোটিন (Plasma protein) টি লিভারে তৈরী হয় না?,Prothrombin.,0,0
196,নিচের কোন ভিটামিন মানব দেহে তৈরী হয়?,নিয়াসিন,1,1
197,প্যানক্রিয়াসের আইলেটস অব ল্যাঙ্গার হ্যান্স এর কোন কোষ (Cells) থেকে ইনসুলিন নিঃসৃত হয়?,ডেলটা কোষ,0,0
198,এমআরআই (MRI) এর অর্থ কি?,Magnetic Radiation Imaging,0,0
199,নিচের কোনটি যকৃতের সবচেয়ে বড় খন্ড (Lobe)?,Left lobe,0,0
200,প্রাণিজগতের ক্ষুদ্রতম পর্ব (Phylum) কোনটি?,Mollusca,0,0
201,আবরণী কলার নিচের কোনটি নড়াচড়ার কাজে ব্যবহৃত হয়?,মাকুতন্ত্র,1,1
202,শ্বসনতন্ত্রের উৎপত্তি কোথা থেকে হয়?,Mesoderm,1,1
203,সিক্রেটিন নিঃসৃত হয় কোথায় থেকে?,Pancreas,1,1
204,রক্তের pH কত?,6.8,0,0
205,হাইড্রার চলন নয় কোনটি?,ডিগবাজী,0,0
206,কম্বোজ প্রাণি কোনটি?,কর্ডাটা,0,0
207,রেচনতন্ত্র শিখা কোষ দিয়ে কোনটি গঠিত?,Angiostrongylus vasorum,0,0
208,নিডোব্লাস্টের কাজ নয় কোনটি?,চলন,0,0
209,ঘাস ফড়িং এর শ্রেণি বিন্যাস নয় কোনটি?,Order: Orthoptera,0,0
210,যকৃতের আবরণ কোনটি?,ক্যাপস্যুল,1,1
211,কোনটি ওজন বাড়ায় না?,সবগুলো,0,0
212,ফাইব্রিন জালক সৃষ্টি করে কত নং ফ্যাক্টর?,ফ্যাক্টর-০৩,0,0
213,ম্যক্রোলেসিথাল কার ডিম্বাণু?,ঘাসফড়িং,0,0
214,কোন পর্বের প্রাণিদের Plannula লার্ভা দশা রয়েছে?,Platyhelminthes,0,0
215,মানবদেহে বৃক্কের মাধ্যমে প্রতি মিনিটে কী পরিমাণ রক্ত প্রবাহিত হয়?,124 ঘনসেমি,0,0
217,আইলেটস অব ল্যাঙ্গারহ্যানস এর কোষ নয় কোনটি?,বিটা,0,0
218,নিচের কোন কোষ এন্টিবডি তৈরি করে?,সাইটোটক্সিক T কোষ,0,0
219,পৌষ্টিক নালির প্রাচীরে বিকশিত লসিকা নালিদের কি বলে?,কাইল,0,0
220,শ্বাসনালি কোন ধরনের তরুনাস্থি নির্মিত?,শ্বেত তন্তুময়,0,0
221,কোনটি ভাইরাস বৃদ্ধিতে বাঁধা দেয়?,Lysozyme,1,1
222,Alveolus থেকে অক্সিজেন রক্তে কিভাবে প্রবেশ করে?,Respiration,0,0
223,কোনটি Exocrine গ্রন্থি নয়?,Liver,1,1
224,কোনটি হাড়ের সাথে পেশি সংযুক্ত করে?,Ligament,0,0
225,মানবদেহের রক্তে কোন বাফার দ্রবণ (buffer solution) থাকে?,CH₃COONa and CH₃COOH,1,1
226,কোনটি আমিষ পরিপাককারী (digesting) এনজাইম?,Lactase,0,0
227,নেমাটোসিস্টের (Nematocyst) ভিতরে বিষাক্ত তরুণ পদার্থের নাম কী?,Hemocyanin,0,0
228,ঘাসফড়িং এর রক্ত কণিকার নাম কী?,Erythrocyte,0,0
229,ক্ষুদ্রান্ত্রের কোন জ্বরে পানপাত্র সেল (Goblet cell) পাওয়া যায়?,Muscularis mucosa,0,0
230,মাথার খুলিতে কয়টি হাড় রয়েছে?,33,0,0
231,কোন কোষ ম্যাক্রোফেজে (macrophages) রূপান্তরিত হয়?,Basophil,0,0
232,কোনটি attenuated টিকা?,Hepatitis B vaccine,0,0
233,কোন পদ্ধতিতে Hydra লম্বা দূরত্ব আক্রম করে?,সাঁতার,0,0
234,কোষের কোথায় ক্রেবস চক্র (Krebs cycle) সংঘটিত হয়?,Ribosome,0,0
235,কোন এনজাইম অগ্ন্যাশয়ে নাই?,Trypsin,0,0
236,প্রাণিজগতের বৃহত্তম Phylum কোনটি?,Mollusca,0,0
237,লিভারের কোন লোবটি পিত্তথলির সাথে সংযুক্ত থাকে?,Left lobe,0,0
238,গ্রোথ হরমোন কোথায় তৈরি হয়?,Hypothalamus,0,0
239,Golgi complex কোনটি সংশ্লেষ (synthesis) করে না?,Lysosome,1,1
240,ভ্রূণে লোহিত কণিকাসমূহ নিম্নের কোথায় তৈরি হয়?,অগ্ন্যাশয়,0,0
241,নিচের কোন গ্রন্থিটি ভিন্ন প্রকৃতির?,অগ্ন্যাশয়,0,0
242,কবুতর' কোন শ্রেণির প্রাণী?,Actinopterygii,0,0
243,মানবদেহের কোন অঙ্গ ফিব্রিনোজেন তৈরি করে?,অগ্ন্যাশয়,0,0
244,নিচের কোনটি দ্বিস্তরী?,জোঁক,0,0
245,সবচেয়ে বেশি খাদ্যসার শোষণ হয় কোথায়?,পাকস্থলিতে,0,0
246,সর্বজনীন গ্রহীতা Blood group কোনটি?,B,0,0
247,মানবদেহের কোন অঙ্গে সর্বোচ্চ সংখ্যক গবলেট কোষ পাওয়া যায়?,ফুসফুস,1,1
248,হৃৎপিণ্ডে অবস্থিত কোন সংযোগকারী কলা (Junctional tissue) কে পেসমেকার বলা হয়?,বান্ডেল অব হিস,0,0
249,ঘাসফড়িং এর হেপাটিক সিকা কয়টি?,14,0,0
250,পাকস্থলির কোন কোষ থেকে হাইড্রোক্লোরিক এসিড নিঃসৃত হয়?,পেপটিক কোষ,0,0
251,নিচের কোন অঙ্গ ইরাইস্ট্রোপোয়েটিন (Erythropoietin) উৎপাদন করে?,মগজ,0,0
252,শ্বাসতন্ত্রের কোন অংশে গ্যাসীয় বিনিময় হয়?,ব্রঙ্কিওল,0,0
253,প্যারাসিমপ্যাথেটিক স্নায়ু নিচের কোন করোটিক স্নায়ুতে পাওয়া যায়?,অপটিক,0,0
254,হাইড্রার কোন অংশে নিডোসাইট কোষ সবচেয়ে বেশি থাকে?,দেহ কাণ্ড,0,0
255,নিচের কোনটিতে ঐচ্ছিক পেশি পাওয়া যায়?,পাকস্থলি,0,0
256,কোন রক্ত কণিকা অ্যান্টিবডি তৈরি করে?,টি-লিম্ফোসাইট,0,0
257,আন্তঃকশেরুকা চাকতিতে কী ধরনের তরুণাস্থি পাওয়া যায়?,চুনময় তরুণাস্থি,1,1
258,মাইটোসিসে কোষের ভিতয়ে নিউক্লিয়াসের বিভাজনকে কী বলে?,সাইটোকাইনেসিস,0,0
259,নিচের কোনটি রক্তনালির সংকোচন ঘটিয়ে রক্তপাত হ্রাস করে?,হিস্টামিন,0,0
260,নিচের কোন হরমোনটি রক্তে সোডিয়ামের মাত্রা নিয়ন্ত্রণ করে?,এনজিওটেনসিন,0,0
