text,Medicine,modified_text,correct_pair,incorrect_pair
"ধন্যবাদ আপনার প্রশ্নের জন্য । ফাটিয়ে দিবেন না । ইনফেকশন হয়ে যাবে । আপাতত এলারজি উদ্রেককারী খাবার , ধূলাবালি এড়িয়ে চলুন । । এলাট্রল খান । না দেখে সমাধান দেয়া যাচ্ছে না । সরাসরি চর্মরোগ বিশেষজ্ঞ দেখিয়ে পরামর্শ নিতে হবে ধন্যবাদ",এলাট্রল,"ধন্যবাদ আপনার প্রশ্নের জন্য । ফাটিয়ে দিবেন না । ইনফেকশন হয়ে যাবে । আপাতত এলারজি উদ্রেককারী খাবার , ধূলাবালি এড়িয়ে চলুন । । লোরাটাডিন খান । না দেখে সমাধান দেয়া যাচ্ছে না । সরাসরি চর্মরোগ বিশেষজ্ঞ দেখিয়ে পরামর্শ নিতে হবে ধন্যবাদ",1,0
Tab Zinc 1 + 0 + 1 and tab Ceevit 1 + 0 + 1 for 15 days . Tab Multivit 0 + 1 + 0 for 1 month,Tab Zinc | 1 + 0 + 1 | tab Ceevit | 1 + 0 + 1 | Tab Multivit | 0 + 1 + 0,Tab Zinc 1 + 0 + 1 and tab Ceevit 1 + 0 + 1 for 15 days . Tab Centrum 0 + 1 + 0 for 1 month,1,1
আমার দুদিন যাবত জ্বর সাথে কোন কিছু বলতে গেলে গলায় ধারানি হয়ে শুকনো কাশ হয় আমি রাতে হিস্টাসিন ও প্যারাসিটামল খেয়েছি কিন্তু তাতে কোন লাভ হয়নি জ্বর ১০০ নিচে আছে । ,হিস্টাসিন | প্যারাসিটামল,আমার দুদিন যাবত জ্বর সাথে কোন কিছু বলতে গেলে গলায় ধারানি হয়ে শুকনো কাশ হয় আমি রাতে সিটিরিজিন ও প্যারাসিটামল খেয়েছি কিন্তু তাতে কোন লাভ হয়নি জ্বর ১০০ নিচে আছে ।,1,0
প্রতিদিনই ঘুম ঠিকমতো হয়না দুই তিন ঘন্টা পর চলে যায় পেইস ০ . ৫ ও filfresh 3mg খেয়েদেখছি অনেকদিন কাজ হচ্ছে । মানষিক দুঃচিন্তায় কমেনা তার উপর ঠিকমত ঘুম না হওয়ায় ডিপ্রেশনে ভুগছি । উচ্চ রক্তচাপের রুগি নিয়মিত ঔষধ খাই । ,পেইস ০ . ৫ | filfresh 3mg,প্রতিদিনই ঘুম ঠিকমতো হয়না দুই তিন ঘন্টা পর চলে যায় ক্লোনাজেপাম ০ . ৫ ও filfresh 3mg খেয়েদেখছি অনেকদিন কাজ হচ্ছে । মানষিক দুঃচিন্তায় কমেনা তার উপর ঠিকমত ঘুম না হওয়ায় ডিপ্রেশনে ভুগছি । উচ্চ রক্তচাপের রুগি নিয়মিত ঔষধ খাই ।,1,1
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । প্রাথমিক ভাবে গ্লিসারিন সাপজিটরি তিন টা পায়খানার রাস্তায় ব্যবহার করুন । এই ধরনের রোগীদের এমনিতেই কম পায়খানা হয় । কারন তাদের হাঁটাচলা কম হয় । সুপ , জাউ খাবারের পায়খানা শক্ত হয় । খাবারের সাথে পর্যাপ্ত পানি খেতে হবে । ইসুপগুলের ভুষি , ফাইবার জাতীয় খাবার শাক সবজি খেতে হবে । দুধ খেতে হবে । প্রয়োজন এ কক্সবাজার এ একজন ডাক্তার কে দেখিয়ে নিতে পারেন । ধন্যবাদ । ",গ্লিসারিন সাপজিটরি | ইসুপগুলের ভুষি,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । প্রাথমিক ভাবে বিসাকোডিল সাপজিটরি তিন টা পায়খানার রাস্তায় ব্যবহার করুন । এই ধরনের রোগীদের এমনিতেই কম পায়খানা হয় । কারন তাদের হাঁটাচলা কম হয় । সুপ , জাউ খাবারের পায়খানা শক্ত হয় । খাবারের সাথে পর্যাপ্ত পানি খেতে হবে । ইসুপগুলের ভুষি , ফাইবার জাতীয় খাবার শাক সবজি খেতে হবে । দুধ খেতে হবে । প্রয়োজন এ কক্সবাজার এ একজন ডাক্তার কে দেখিয়ে নিতে পারেন । ধন্যবাদ ।",1,1
Sir Amar khub hath abong pa ghamay ami akjon neurologist dekhyci tini ay roger name bollen hyparosis to tini amak amelin - 10 . indevar - 10 . nortin - 10 khayte dice agula khawar por kono improve hoy ny akhon ami ki korbo,amelin - 10 | indevar - 10 | nortin - 10,Sir Amar khub hath abong pa ghamay ami akjon neurologist dekhyci tini ay roger name bollen hyparosis to tini amak amelin - 10 . atenolol - 10 . nortin - 10 khayte dice agula khawar por kono improve hoy ny akhon ami ki korbo,1,0
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । Syp Tofen 1 . 5 চামচ করে রাতে খাওয়াতে পারেন আপনি সরাসরি একজন Pedatrician এর পরামর্শ নিন ধন্যবাদ,Syp Tofen,ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । Syp Cetirizine 1 . 5 চামচ করে রাতে খাওয়াতে পারেন আপনি সরাসরি একজন Pedatrician এর পরামর্শ নিন ধন্যবাদ,1,0
Thank you for your question Bukof syrup 3times a day for 3days . Tab . Fexo 120mg 0 + 0 + 1 for 3days . If not cured antibiotic will be required . Thank you,Bukof syrup | Tab . Fexo 120mg,Thank you for your question Bro-Zedex syrup 3times a day for 3days . Tab . Fexo 120mg 0 + 0 + 1 for 3days . If not cured antibiotic will be required . Thank you,0,0
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । যেহেতু ব্যাথানাশক ঔষধ খেয়েও ব্যাথা কমেনি , সমস্যাটি গুরুতর । একজন অর্থোপেডিক্স বিশেষজ্ঞের সাথে সরাসরি দেখা করে পরামর্শ নিন । গরম শেক দিন । ধন্যবাদ । ",ব্যাথানাশক ঔষধ,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । যেহেতু প্যারাসিটামল খেয়েও ব্যাথা কমেনি , সমস্যাটি গুরুতর । একজন অর্থোপেডিক্স বিশেষজ্ঞের সাথে সরাসরি দেখা করে পরামর্শ নিন । গরম শেক দিন । ধন্যবাদ ।",1,1
"বাবুর খুব পাতলা পায়খানা হচ্ছে । ফিলমেট আর পেপ 2 দিচ্ছে কিন্তু ফিলমেট তিতা জন্য খেতেই পারছে না , খাইলেও বুমি করে দিচ্ছে । কি করবো এখন",ফিলমেট | পেপ 2 | ফিলমেট,"বাবুর খুব পাতলা পায়খানা হচ্ছে । টিনিডাজল আর পেপ 2 দিচ্ছে কিন্তু ফিলমেট তিতা জন্য খেতেই পারছে না , খাইলেও বুমি করে দিচ্ছে । কি করবো এখন",0,1
"I am Shafiqule Islam , from yesterday early morning I am suffering dental pain . all ready I took etorisk but it was not working , then I took Rolex 10mg discuss with a dental dr . but still am suffering too much , at the moment what should I do , please suggest me if you free available . thanks",etorisk | Rolex 10mg,"I am Shafiqule Islam , from yesterday early morning I am suffering dental pain . all ready I took ibuprofen but it was not working , then I took Rolex 10mg discuss with a dental dr . but still am suffering too much , at the moment what should I do , please suggest me if you free available . thanks",1,1
ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । প্রথমত আপনাকে খাবার খেতে হবে ঠিকমতো । tab - filwel gold 0 + 1 + 0 ১ মাস এই মাল্টিভিটামিন খেতে পারেন । Tab - ovocal D 1 + 0 + 0 ১ মাস খাবেন । একজন গাইনি বিশেষজ্ঞ চিকিৎসক এর পরামর্শ নিবেন । ,tab - filwel gold | Tab - ovocal D,ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । প্রথমত আপনাকে খাবার খেতে হবে ঠিকমতো । tab - supradyn 0 + 1 + 0 ১ মাস এই মাল্টিভিটামিন খেতে পারেন । Tab - ovocal D 1 + 0 + 0 ১ মাস খাবেন । একজন গাইনি বিশেষজ্ঞ চিকিৎসক এর পরামর্শ নিবেন ।,1,1
"আমার সব সময় মাথা এলোমোলো আর অস্থিতিকর লাগে , স্বাভাভিক ভাবে থাকতে পারতেছিনা মানুষিক চাপ টেনশন আছে , বদহজম এর সমস্যা , সাথে হাই প্রেসার ও আছে অনেক ডাক্তার পরিক্ষা নিরিক্ষা করে ঔষধ খাচ্ছি olmezest am 5 / 20 , ribotril 0 . 5 mg , rabe 20 mg , apuldon 10 mg , এগুলান খেয়ে কিছুটা স্বাভাবিক থাকলেও পুরো স্বাভাবিক থাকতে পারতেছিনা , স্বাস্থ্য ও খারাপ , আপনাদের কাছে এসব এর প্রতিকার জানতে চাইলে আপনারা প্রতিবারেই একই উত্তর যাচ্ছেন সাধারণ ডাক্তার এর মত , তাহলে এই সেবা টা চালু করার দরকার ছিলো না , এখন আমাকে কিছু পরামর্শ দেন",olmezest am 5 / 20 | ribotril 0 . 5 mg | rabe 20 mg | apuldon 10 mg,"আমার সব সময় মাথা এলোমোলো আর অস্থিতিকর লাগে , স্বাভাভিক ভাবে থাকতে পারতেছিনা মানুষিক চাপ টেনশন আছে , বদহজম এর সমস্যা , সাথে হাই প্রেসার ও আছে অনেক ডাক্তার পরিক্ষা নিরিক্ষা করে ঔষধ খাচ্ছি olmezest am 5 / 20 , ribotril 0 . 5 mg , omeprazole 20 mg , apuldon 10 mg , এগুলান খেয়ে কিছুটা স্বাভাবিক থাকলেও পুরো স্বাভাবিক থাকতে পারতেছিনা , স্বাস্থ্য ও খারাপ , আপনাদের কাছে এসব এর প্রতিকার জানতে চাইলে আপনারা প্রতিবারেই একই উত্তর যাচ্ছেন সাধারণ ডাক্তার এর মত , তাহলে এই সেবা টা চালু করার দরকার ছিলো না , এখন আমাকে কিছু পরামর্শ দেন",0,0
"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Tab . Napa Extend 665mg 1 + 1 + 1 if fever or pain , Tab . Fexo 120mg 1 + 0 + 1 5days",Tab . Napa Extend 665mg | Tab . Fexo 120mg,"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Tab . Ibuprofen 400mg 1 + 1 + 1 if fever or pain , Tab . Fexo 120mg 1 + 0 + 1 5days",1,0
"female , Age 27 , weight 70kgs . amar last 3 din dhore pete uneasy . khawar poro pet kamrai . abar khele thik hoi olpo time er jonno . amar stool o ektu constipated . daily hoi but pressure diye korte hoi . Sergel r omidon khacchi 3 din dhore but still hocche same . amr weight gain hoise ato khawar jonno . ki koronio ? ",Sergel | omidon,"female , Age 27 , weight 70kgs . amar last 3 din dhore pete uneasy . khawar poro pet kamrai . abar khele thik hoi olpo time er jonno . amar stool o ektu constipated . daily hoi but pressure diye korte hoi . Pantocid r omidon khacchi 3 din dhore but still hocche same . amr weight gain hoise ato khawar jonno . ki koronio ?",1,1
"আমার ছোট ভাইয়ের জিহ্বার নিচে দুই মাস যাবৎ একটি সাদা গুটির মতো বিচি ওঠেছে । সে একজন ডাক্তার এর পরামর্শ মতো Tab cefotil plus 125mg 1 + 0 + 1 - 7 days . Micoral gel apply 3 times daily 7 days . / Trialon oral paste apply 2 times daily 7 days . use করেছে । কিন্তু সমস্যা সমাধান হচ্ছে না । সমস্যা সমাধানে পরামর্শ দেন । নতুবা নাক , কান , গলা বিশেষজ্ঞ চিকিৎসকের একজন ডাক্তার সাহেব এর Facebook I ' d চাচ্ছিলাম । ( আপনাকে ছবিসহ পাঠানো রেমিটেন্স জন্য ) Name : < NAME > age : 11",Tab cefotil plus 125mg | Micoral gel | Trialon oral paste,"আমার ছোট ভাইয়ের জিহ্বার নিচে দুই মাস যাবৎ একটি সাদা গুটির মতো বিচি ওঠেছে । সে একজন ডাক্তার এর পরামর্শ মতো Tab cefotil plus 125mg 1 + 0 + 1 - 7 days . Nystatin oral gel apply 3 times daily 7 days . / Trialon oral paste apply 2 times daily 7 days . use করেছে । কিন্তু সমস্যা সমাধান হচ্ছে না । সমস্যা সমাধানে পরামর্শ দেন । নতুবা নাক , কান , গলা বিশেষজ্ঞ চিকিৎসকের একজন ডাক্তার সাহেব এর Facebook I ' d চাচ্ছিলাম । ( আপনাকে ছবিসহ পাঠানো রেমিটেন্স জন্য ) Name : < NAME > age : 11",0,1
Amer 1 mash jabot gola betha . dr furotil 250mg 7 din & fexo 14 din khete bolse shate menthol er vap nete bolse dine 3 ber . kotha bolte nished korse . but amader je kaj kotha na bole kaj kora shombob na . 8din hoise but golar improv dekhe na . golar tone change hoye gese . kotha bolte kosto hoi . ami akhon ki korte pari pls suggest korben . ,furotil 250mg | fexo | menthol,Amer 1 mash jabot gola betha . dr cefixime 200mg 7 din & fexo 14 din khete bolse shate menthol er vap nete bolse dine 3 ber . kotha bolte nished korse . but amader je kaj kotha na bole kaj kora shombob na . 8din hoise but golar improv dekhe na . golar tone change hoye gese . kotha bolte kosto hoi . ami akhon ki korte pari pls suggest korben .,0,1
ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । আপনি tab - fexo 120 mg 1 + 0 + 1 ৫ দিন খাবেন । চক্ষু বিশেষজ্ঞ চিকিৎসক দেখিয়ে পরবর্তী পদক্ষেপ নিবেন । ,tab - fexo 120 mg,ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । আপনি tab - cetirizine 10 mg 1 + 0 + 1 ৫ দিন খাবেন । চক্ষু বিশেষজ্ঞ চিকিৎসক দেখিয়ে পরবর্তী পদক্ষেপ নিবেন ।,0,0
"omedon 10 mg , rabe 20 mg খাওয়ার আগে খাবো না না পড়ে খাবো আর কয় বেলা করে খাবো , প্রেস্ক্রিপশন টা হারাই ফেলছি মনে নাই । ",omedon 10 mg | rabe 20 mg,"মেটোক্লোপ্রামাইড 10 mg , rabe 20 mg খাওয়ার আগে খাবো না না পড়ে খাবো আর কয় বেলা করে খাবো , প্রেস্ক্রিপশন টা হারাই ফেলছি মনে নাই ।",0,0
ডাক্তারভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Tab Algin 50mg - - 1 + 1 + 1 After meal when there is pain . আপাতত ব্যথার জন্য ঔষধটি খাবেন । আপনার স্ত্রী যে গাইনী ডাক্তারের চিকিৎসাধীন আছেন দ্রুত উনার পরামর্শ নিন । ধন্যবাদ । ,Tab Algin 50mg,ডাক্তারভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Tab Naproxen 250mg - - 1 + 1 + 1 After meal when there is pain . আপাতত ব্যথার জন্য ঔষধটি খাবেন । আপনার স্ত্রী যে গাইনী ডাক্তারের চিকিৎসাধীন আছেন দ্রুত উনার পরামর্শ নিন । ধন্যবাদ ।,1,1
ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Tab Norvis 50 . 1 + 1 + 1 পেট ব্যথা হলে খেতে পারেন । সাথে পেটে গরম সেঁক দিতে পারেন । ধন্যবাদ,Tab Norvis 50,ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Tab Mebeverine 135 . 1 + 1 + 1 পেট ব্যথা হলে খেতে পারেন । সাথে পেটে গরম সেঁক দিতে পারেন । ধন্যবাদ,1,0
Thank you for your question . Viodin mouthwash 3times daily for 2 weeks . Thank you . ,Viodin mouthwash,Thank you for your question . Chlorhexidine mouthwash 3times daily for 2 weeks . Thank you .,1,0
"আমি আমার বাম কানে রক্তপাপাত দেখার পর ডাক্টার এর কাছে গেলে উনি একটা ড্রপ ( ১৫দিনের জন্য ) ও একটা টেবলেট দেন ( ৭ দিনের জন্য ) ড্রপ দেওয়ার পর হালকা ব্যাথা অনুভব করি , এবং কালকে রাত্রে ট্যাবলেট টা খাওয়ার পর প্রচন্ড ব্যাথায় সারা রাত খুমতে পারিনি , এখনও আমার ব্যাথা কমেনাই , উল্লেক্ষ্য যে আমার ওষুধ খাওয়ার আগে ব্যাথা ছিলো না . . . . . ",ড্রপ | টেবলেট,"আমি আমার বাম কানে রক্তপাপাত দেখার পর ডাক্টার এর কাছে গেলে উনি একটা ড্রপ ( ১৫দিনের জন্য ) ও একটা ক্যাপসুল দেন ( ৭ দিনের জন্য ) ড্রপ দেওয়ার পর হালকা ব্যাথা অনুভব করি , এবং কালকে রাত্রে ট্যাবলেট টা খাওয়ার পর প্রচন্ড ব্যাথায় সারা রাত খুমতে পারিনি , এখনও আমার ব্যাথা কমেনাই , উল্লেক্ষ্য যে আমার ওষুধ খাওয়ার আগে ব্যাথা ছিলো না . . . . .",1,1
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । এর জন্য আপাতত Tab Tufnil 200 ১ টা করে খাওয়াতে পারেন আপনি সরাসরি একজন Medicine specialist এর পরামর্শ নিন ধন্যবাদ,Tab Tufnil 200,ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । এর জন্য আপাতত Tab Ibuprofen 200 ১ টা করে খাওয়াতে পারেন আপনি সরাসরি একজন Medicine specialist এর পরামর্শ নিন ধন্যবাদ,1,0
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি মাথা ব্যাথার জন্য প্যারাসিটামল একটা খেতে পারেন খাবার পরে । কফি খেয়ে দেখতে পারেন । একজন মেডিসিন ডাক্তারকে দেখিয়ে নিন । ধন্যবাদ,প্যারাসিটামল,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি মাথা ব্যাথার জন্য আইবুপ্রোফেন একটা খেতে পারেন খাবার পরে । কফি খেয়ে দেখতে পারেন । একজন মেডিসিন ডাক্তারকে দেখিয়ে নিন । ধন্যবাদ,1,0
ডাক্তার ভারতে প্রশ্ন করার জন্য ধন্যবাদ । ঔষধগুলো সেবন করে অসুখ সারিয়ে তারপর করোণা টিকা নিন । ধন্যবাদ,করোণা টিকা,ডাক্তার ভারতে প্রশ্ন করার জন্য ধন্যবাদ । ঔষধগুলো সেবন করে অসুখ সারিয়ে তারপর ইনফ্লুয়েঞ্জা টিকা নিন । ধন্যবাদ,1,1
Thank you for asking question to Daktarbhai . There are lots of reason for hairfall . Give her cap . Zif 0 + 1 + 0 - - 1 month . Tab . Floriz 1000mcg - - 0 + 1 + 0 - - - 1 month . Tab D - Rise 2000 IU - 0 + 1 + 0 - - 1 month . Drink lots of water . Eat Protien rich food like egg . meat . fish . Consulat a dermatologist physically . Thanks . ,cap . Zif | Tab . Floriz 1000mcg | Tab D - Rise 2000 IU,Thank you for asking question to Daktarbhai . There are lots of reason for hairfall . Give her cap . Zif 0 + 1 + 0 - - 1 month . Tab . Floriz 1000mcg - - 0 + 1 + 0 - - - 1 month . Tab Calcirol 2000 IU - 0 + 1 + 0 - - 1 month . Drink lots of water . Eat Protien rich food like egg . meat . fish . Consulat a dermatologist physically . Thanks .,0,0
"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Tab Fexo 120 , 1 + 0 + 1 , . 5 days . ধন্যবাদ",Tab Fexo 120,"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Tab Cetirizine 10 , 1 + 0 + 1 , . 5 days . ধন্যবাদ",1,0
ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Tab Bextrum Gold - একটি করে ট্যাবলেট ' একবেলা ১৫ দিন । Tab Xinc B - 1 টি করে ট্যাবলেট দুইবেলা দশ দিন । এবং পেটে ব্যথা হলে Tab Algin 50 - 1 টি করে ট্যাবলেট তিনবেলা তিন দিন খেতে পারেন । ধন্যবাদ,Tab Bextrum Gold | Tab Xinc B | Tab Algin 50,ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Tab Supradyn - একটি করে ট্যাবলেট ' একবেলা ১৫ দিন । Tab Xinc B - 1 টি করে ট্যাবলেট দুইবেলা দশ দিন । এবং পেটে ব্যথা হলে Tab Algin 50 - 1 টি করে ট্যাবলেট তিনবেলা তিন দিন খেতে পারেন । ধন্যবাদ,1,1
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি ট্যাবলেট এলাট্রল ১০ মিলিগ্রাম রাতে একটা খেতে পারেন । এন্টাজল নেজাল ড্রপ দুই ফোটা করে তিন বার করে দুই নাকে দিন । ধন্যবাদ । ,ট্যাবলেট এলাট্রল ১০ মিলিগ্রাম | এন্টাজল নেজাল ড্রপ,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি ট্যাবলেট নরট্রিপটাইলিন ১০ মিলিগ্রাম রাতে একটা খেতে পারেন । এন্টাজল নেজাল ড্রপ দুই ফোটা করে তিন বার করে দুই নাকে দিন । ধন্যবাদ ।,1,0
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি একবেলার জন্য মেটফরমিন না খেয়ে বরং দুই তিন দিনের খাবার আগে ও পরের রক্তের সুগার মেপে বেশি থাকলে একজন ডায়াবেটিস এ - র ডাক্তারের পরামর্শ নিন । প্রতিদিন আধা ঘন্টা করে জোর কদমে হাটুন । মিষ্টি খাবার পরিহার করুন । ধন্যবাদ,মেটফরমিন,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি একবেলার জন্য গ্লাইমেপিরাইড না খেয়ে বরং দুই তিন দিনের খাবার আগে ও পরের রক্তের সুগার মেপে বেশি থাকলে একজন ডায়াবেটিস এ - র ডাক্তারের পরামর্শ নিন । প্রতিদিন আধা ঘন্টা করে জোর কদমে হাটুন । মিষ্টি খাবার পরিহার করুন । ধন্যবাদ,0,0
