text,Age,Dosage,Health Condition,Medical Procedure,Medicine,Specialist,Symptom,modified_symptom,modified_sentence
মাথা ব্যাথা হলে প্রাথমিক ভাবে কি করনীয় মাথা প্রথমে গরম হয় পরে ব্যাথা শুরু হয়,[],[],[],[],[],[],"['মাথা ব্যাথা', 'মাথা প্রথমে গরম হয় পরে ব্যাথা শুরু হয়']",জ্বর,জ্বর হলে প্রাথমিক ভাবে কি করনীয় মাথা প্রথমে গরম হয় পরে ব্যাথা শুরু হয়
"বাইসাইকেল চালানোর পর গত ৪ / ৫ দিন ধরে আমার পিঠে পিছনে ডান ছাইটের মধ্য খানে অনেক ব্যাত্থা করতেছে , এখন আমার কি করার আছে ? ",[],[],[],[],[],[],['৪ / ৫ দিন ধরে আমার পিঠে পিছনে ডান ছাইটের মধ্য খানে অনেক ব্যাত্থা'],মাথাব্যথা,"বাইসাইকেল চালানোর পর গত ৪ / ৫ দিন ধরে আমার পিঠে পিছনে ডান ছাইটের মধ্য খানে অনেক মাথাব্যথা করতেছে , এখন আমার কি করার আছে ?"
আামার হার্টে ব্যাথা । ঘুম কম হয় । প্রেসার উচ্চ । ডায়বেটিস,[],[],['ডায়বেটিস'],[],[],[],"['হার্টে ব্যাথা', 'ঘুম কম হয়', 'প্রেসার উচ্চ']",মাথাব্যাথা,আামার মাথাব্যাথা । ঘুম কম হয় । প্রেসার উচ্চ । ডায়বেটিস
চোখের নেত্রনালি বন্ধ হয়ে গেছে । অপারেশন ছাড়া কোনো উপায় কি আছে ঠিক করার ? ,[],[],[],[],[],[],['চোখের নেত্রনালি বন্ধ'],চোখের জ্বালা,চোখের জ্বালা হয়ে গেছে । অপারেশন ছাড়া কোনো উপায় কি আছে ঠিক করার ?
আমার মুখে এবং পিঠে অনেক ব্রন হয় । এবং দাগ হয়ে যায় । পিঠের দাগগুলো অনেক বেশি । ব্রনের দাগ মুছে ফেলতে কি করণীয় ? ,[],[],[],[],[],[],"['মুখে এবং পিঠে অনেক ব্রন', 'দাগ হয়ে যায়']",মুখে এবং পিঠে অনেক চুলকানি,আমার মুখে এবং পিঠে অনেক চুলকানি হয় । এবং দাগ হয়ে যায় । পিঠের দাগগুলো অনেক বেশি । ব্রনের দাগ মুছে ফেলতে কি করণীয় ?
রাতে রাতে জ্বর হয় তা চুরা জ্বর বেস এক বছর ধরে । এখন কি ঔষধ খাওয়া যায় বা কি করবো ? ,[],[],[],[],[],[],['রাতে জ্বর হয়'],রাতে মাথাব্যথা হয়,রাতে মাথাব্যথা হয় তা চুরা জ্বর বেস এক বছর ধরে । এখন কি ঔষধ খাওয়া যায় বা কি করবো ?
"আমার স্ত্রী ২ মাসের প্রেগন্যান্ট । ১ - ২ দিন ধরে জর আছে গায়ে , এক্ষেত্রে কি নাপা , বা জর কমানোর ওষুধ খেতে পারবে ? ? ? বা কি করা যেতে পারে ? ",[],[],['২ মাসের প্রেগন্যান্ট'],[],"['নাপা', 'জর কমানোর ওষুধ']",[],['জর'],মাথাব্যথা,"আমার স্ত্রী ২ মাসের প্রেগন্যান্ট । ১ - ২ দিন ধরে মাথাব্যথা আছে গায়ে , এক্ষেত্রে কি নাপা , বা জর কমানোর ওষুধ খেতে পারবে ? ? ? বা কি করা যেতে পারে ?"
"গ্রাহক , ডাক্তার ভাইকে প্রশ্ন করার জন্য আপনাকে ধন্যবাদ । আপনি আপনার মাকে নিম্নলিখিত ওষুধ গুলো দিতে পারেন - - - Tab . Flagyl 400mg ১ + ১ + ১ - - - - - - ৫ দিন ORS এক প্যাকেট স্যালাইন 500 মিলি লিটার পানির সাথে মিশিয়ে তৈরি করবেন , প্রতিবার পাতলা পায়খানার পর একগ্লাস করে ওরস্যালাইন খাবেন । Cap . Sergel 20mg ১ + 0 + ১ - - - - - - - - - - - - ৭ দিন ( খাবার 30 মিনিট আগে ) আপনি লক্ষ্য রাখবেন আপনার মায়ের সারাদিনে 5 থেকে 6 বার প্রস্রাব হয় কিনা । যদি এর কম প্রস্রাব হয় অথবা রোগী অনেক দূর্বল হয়ে পারে , তাহলে অতি দ্রুত নিকটস্থ হাসপাতালে নিয়ে যাবেন । ধন্যবাদ । ",[],"['১ + ১ + ১', 'এক প্যাকেট', '১ + 0 + ১']",[],[],"['Tab . Flagyl 400mg', 'ORS', 'Cap . Sergel 20mg']",[],"['কম প্রস্রাব হয়', 'দূর্বল হয়ে পারে']",মাথাব্যথা হয়,"গ্রাহক , ডাক্তার ভাইকে প্রশ্ন করার জন্য আপনাকে ধন্যবাদ । আপনি আপনার মাকে নিম্নলিখিত ওষুধ গুলো দিতে পারেন - - - Tab . Flagyl 400mg ১ + ১ + ১ - - - - - - ৫ দিন ORS এক প্যাকেট স্যালাইন 500 মিলি লিটার পানির সাথে মিশিয়ে তৈরি করবেন , প্রতিবার পাতলা পায়খানার পর একগ্লাস করে ওরস্যালাইন খাবেন । Cap . Sergel 20mg ১ + 0 + ১ - - - - - - - - - - - - ৭ দিন ( খাবার 30 মিনিট আগে ) আপনি লক্ষ্য রাখবেন আপনার মায়ের সারাদিনে 5 থেকে 6 বার মাথাব্যথা হয় কিনা । যদি এর কম মাথাব্যথা হয় অথবা রোগী অনেক দূর্বল হয়ে পারে , তাহলে অতি দ্রুত নিকটস্থ হাসপাতালে নিয়ে যাবেন । ধন্যবাদ ।"
আমরা ছেলের বয়স ২০ মাস । সে পায়খানার রাস্তায় ছুলকায় । এখন কি করতে পারি,['২০ মাস'],[],[],[],[],[],['পায়খানার রাস্তায় ছুলকায়'],মাথাব্যথা,আমরা ছেলের বয়স ২০ মাস । সে মাথাব্যথায় ছুলকায় । এখন কি করতে পারি
Its most probably due to viral exanthem . You must need to consult with pediatrician for specific diagnosis and management according to age and body weight . Till then continue syrup . Napa if fever persists . Thanks . ,[],[],['viral exanthem'],[],['syrup . Napa'],['pediatrician'],['fever'],cough,Its most probably due to viral exanthem . You must need to consult with pediatrician for specific diagnosis and management according to age and body weight . Till then continue syrup . Napa if cough persists . Thanks .
আমার তিন চারদিন ধরে শুকনো কাশি হচ্ছে আর গলায় যেন কিছু একটা আটকে আছে কিন্তু গলা ব্যথা নাই । নাকের ভিতরের দিকে একটা ফোড়ার মত হয়েছে । যদিও সর্দি নাই । খাবার দাবার স্বাভাবিক । মাঝে মাঝে হালকা অবসাদ লাগছে । জ্বর তেমন একটা নাই বললে চলে । ,[],[],[],[],[],[],"['শুকনো কাশি', 'গলায় যেন কিছু একটা আটকে আছে', 'গলা ব্যথা', 'নাকের ভিতরের দিকে একটা ফোড়ার মত হয়েছে', 'সর্দি', 'অবসাদ লাগছে', 'জ্বর']",জ্বর,আমার তিন চারদিন ধরে জ্বর হচ্ছে আর গলায় যেন কিছু একটা আটকে আছে কিন্তু গলা ব্যথা নাই । নাকের ভিতরের দিকে একটা ফোড়ার মত হয়েছে । যদিও সর্দি নাই । খাবার দাবার স্বাভাবিক । মাঝে মাঝে হালকা অবসাদ লাগছে । জ্বর তেমন একটা নাই বললে চলে ।
"Allergic , itching nose always , shordi always , hachchi always . ",[],[],[],[],[],[],"['Allergic , itching nose always', 'shordi always', 'hachchi always']",sneezing,"sneezing , itching nose always , shordi always , hachchi always ."
আমার বোনের বয়স ৩০ বছর ওনার ২ টা বাচ্ছা একটার বয়স ১৪ আর একটা ১২ বছর ওনার কয়েকদিন ধরে বুকের বাম পাশে বেস্টে পেইন করছে কাশি দিলে পেইন হয় বেস্টে চাপ দিলে পেইন হয় । কি করবে জানাবেন☺,['৩০'],[],[],[],[],[],['বুকের বাম পাশে বেস্টে পেইন করছে কাশি দিলে পেইন হয় বেস্টে চাপ দিলে পেইন হয়'],মাথাব্যথা,আমার বোনের বয়স ৩০ বছর ওনার ২ টা বাচ্ছা একটার বয়স ১৪ আর একটা ১২ বছর ওনার কয়েকদিন ধরে মাথাব্যথা করছে কাশি দিলে পেইন হয় বেস্টে চাপ দিলে পেইন হয় । কি করবে জানাবেন☺
"ধন্যবাদ আপনার প্রশ্নের জন্য । শুধু নাপা খাবে ব্যাথা আর জরের জন্য । কাশির জন্য গরম পানি লবণ দিয়ে গড়গড়া করুন । আদা চা , মধু , সিভিট খান । গরম পানি খাবেন একটু পর পর । আর কোন ওষুধ দরকার নেই । মনে রাখবেন , অপ্রয়োজনীয় ও আতিরিক্ত ওষুধ খাওয়া কখনোই ভাল নয় । ধন্যবাদ",[],[],[],[],['নাপা'],[],"['ব্যাথা', 'জরের', 'কাশির']",জ্বর,"ধন্যবাদ আপনার প্রশ্নের জন্য । শুধু নাপা খাবে জ্বর আর জরের জন্য । কাশির জন্য গরম পানি লবণ দিয়ে গড়গড়া করুন । আদা চা , মধু , সিভিট খান । গরম পানি খাবেন একটু পর পর । আর কোন ওষুধ দরকার নেই । মনে রাখবেন , অপ্রয়োজনীয় ও আতিরিক্ত ওষুধ খাওয়া কখনোই ভাল নয় । ধন্যবাদ"
আমার মুখে আমারি নক দিয়ে সিলে গেইছিল ৭ - - ৮ মাসের মত হচ্ছে কিন্তু ওই দাগ উঠছে না কোন ক্রিম বা মলম লাগাইলে ওই দাগ ওঠবে,[],[],[],[],"['ক্রিম', 'মলম']",[],"['মুখে আমারি নক দিয়ে সিলে গেইছিল', 'দাগ উঠছে না']",মাথা ব্যথা,আমার মাথা ব্যথা দিয়ে সিলে গেইছিল ৭ - - ৮ মাসের মত হচ্ছে কিন্তু ওই দাগ উঠছে না কোন ক্রিম বা মলম লাগাইলে ওই দাগ ওঠবে
"আমার মেয়ের বয়স ৩ বছর , ১৮ / ১৯ দিন আগে হাঁটুর নিচের দিকে সামান্য কেটে গেছে , ২ / ৩ দিনের মধ্যে কাটা জায়গা শুকিয়ে যায় কিন্তু ৭ / ৮ দিন আগে থেকে তা আবারও কাঁচা হয়ে গেছে , পুঁজ জমেছে একটু , কি ঔষধ লাগাতে হবে জানালে কৃতজ্ঞ থাকব । ",['৩ বছর'],[],['হাঁটুর নিচের দিকে সামান্য কেটে গেছে'],[],[],[],"['কাঁচা হয়ে গেছে', 'পুঁজ জমেছে']",ফোলা হয়ে গেছে,"আমার মেয়ের বয়স ৩ বছর , ১৮ / ১৯ দিন আগে হাঁটুর নিচের দিকে সামান্য কেটে গেছে , ২ / ৩ দিনের মধ্যে কাটা জায়গা শুকিয়ে যায় কিন্তু ৭ / ৮ দিন আগে থেকে তা আবারও ফোলা হয়ে গেছে , পুঁজ জমেছে একটু , কি ঔষধ লাগাতে হবে জানালে কৃতজ্ঞ থাকব ।"
"amar age 24 . amar 1 mas er besi somoy dhore amosa hocce . dine 3 , 4 , bar kore . . amosa ta naker kof er moto , toilet ekdom patla na , , halka sokto , , ",['24'],[],[],[],[],[],"['amosa ta naker kof er moto', 'toilet ekdom patla na , , halka sokto']",khasi,"amar age 24 . amar 1 mas er besi somoy khasi hocce . dine 3 , 4 , bar kore . . khasi ta naker kof er moto , toilet ekdom patla na , , halka sokto , ,"
"ইফতারের পর হঠাৎ করেই আমার আজ শরীরের তাপমাত্রা ১০০ . ৪ ' । ১একঘন্টা পর দেখলাম ৯৯ ' শরীর একটু জর লাগছে , কি ঔষধ খেতে পারি , সাথে গলায় খুসখুস কাশি আছে , ",[],[],[],[],[],[],"['জর', 'গলায় খুসখুস কাশি']",মাথাব্যথা,"ইফতারের পর হঠাৎ করেই আমার আজ শরীরের তাপমাত্রা ১০০ . ৪ ' । ১একঘন্টা পর দেখলাম ৯৯ ' শরীর একটু মাথাব্যথা লাগছে , কি ঔষধ খেতে পারি , সাথে গলায় খুসখুস কাশি আছে ,"
"আমার বয়স ২৩ বছর আমার রানের দুই চিপায় চুলকানি হয়ে পুরা জায়গাটা কালো হয়ে গেছে , আনেক চুলকাতো , ঘা এর মতো হয়েছে পরে একজন দাক্তার দেখানোর পর তিনি কিছু ওসুধ দেন , ফ্লুকনাজল , আইসোক্লোক্স ও ট্রইজিন , আর একটা ক্রিম দেন ইকনাজল ১৫ দিন খাবার পর আনেক কমেছে , একে বারেই নাই বল্লে চলে । এখন আবার একটা দুইটা ঘামাছির মতো দেখা যাচ্ছে , দাক্তার সাহেব আবার ৫ টি ফ্লুকনাজল দিছে , আর একটি সিরাপ দিছে "" সাফি "" বলছে আপনার রক্তে আনেক এর্লাজি । কি করলে স্থাই ভাবে সুস্থ হবো সমাধান দিবেন",['২৩ বছর'],[],['এর্লাজি'],[],"['ফ্লুকনাজল', 'আইসোক্লোক্স', 'ট্রইজিন', 'ইকনাজল', 'সাফি']",[],"['রানের দুই চিপায় চুলকানি হয়ে পুরা জায়গাটা কালো হয়ে গেছে', 'চুলকাতো', 'ঘা এর মতো', 'একটা দুইটা ঘামাছির মতো']",মাথাব্যথা,"আমার বয়স ২৩ বছর আমার মাথাব্যথা হয়ে পুরা জায়গাটা কালো হয়ে গেছে , আনেক চুলকাতো , ঘা এর মতো হয়েছে পরে একজন দাক্তার দেখানোর পর তিনি কিছু ওসুধ দেন , ফ্লুকনাজল , আইসোক্লোক্স ও ট্রইজিন , আর একটা ক্রিম দেন ইকনাজল ১৫ দিন খাবার পর আনেক কমেছে , একে বারেই নাই বল্লে চলে । এখন আবার একটা দুইটা ঘামাছির মতো দেখা যাচ্ছে , দাক্তার সাহেব আবার ৫ টি ফ্লুকনাজল দিছে , আর একটি সিরাপ দিছে "" সাফি "" বলছে আপনার রক্তে আনেক এর্লাজি । কি করলে স্থাই ভাবে সুস্থ হবো সমাধান দিবেন"
My child age is 4 + years old . Gotokal theke dan choker patar upore akti soto gota ( acne ) r moto uthese . Halka pain ase . Akhon ki korbo . ,['4 + years'],[],[],[],[],[],"['dan choker patar upore akti soto gota ( acne ) r moto uthese', 'pain']",dan choker patar upore akti soto gota ( eczema ),My child age is 4 + years old . Gotokal theke dan choker patar upore akti soto gota ( eczema ) r moto uthese . Halka pain ase . Akhon ki korbo .
"আমার বাচ্চার ৫০ দিন । দুই তিন দিন যাবত শুকনা ঠান্ডা মনে হচ্ছে । নাক বন্ধ হয়ে থাকে , শ্বাস নিতে কষ্ট হয় । আমি নজোমিষ্ট বিপি০ . ৯ % ব্যবহার করছি কিন্তু নাক খোলছে না । এখন আর কি কোন ঔষধ খাওয়াতে হবে আর কি ঔষধ খাওয়াতে পারি ? ? ",['৫০ দিন'],[],[],[],['নজোমিষ্ট বিপি০ . ৯ %'],[],"['শুকনা ঠান্ডা', 'নাক বন্ধ', 'শ্বাস নিতে কষ্ট', 'নাক খোলছে না']",জ্বর,"আমার বাচ্চার ৫০ দিন । দুই তিন দিন যাবত জ্বর মনে হচ্ছে । নাক বন্ধ হয়ে থাকে , শ্বাস নিতে কষ্ট হয় । আমি নজোমিষ্ট বিপি০ . ৯ % ব্যবহার করছি কিন্তু নাক খোলছে না । এখন আর কি কোন ঔষধ খাওয়াতে হবে আর কি ঔষধ খাওয়াতে পারি ? ?"
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি জ্বরের জন্য প্যারাসিটামল ৫০০মিলিগ্রাম একটা করে তিন বেলা খাবার পরে খাওয়াতে পারেন । বেশি করে পানি খাওয়ান । শরীর কুসম গরম পানি দিয়ে মুছে দিন । জ্বর না কমলে একজন ডাক্তার কে দেখিয়ে নিতে পারেন । সর্দির জন্য এলাট্রল রাতে একটা করে খাওয়াতে পারেন । ধন্যবাদ,[],"['একটা করে তিন বেলা খাবার', 'রাতে একটা করে']",[],[],"['প্যারাসিটামল ৫০০মিলিগ্রাম', 'এলাট্রল']",[],"['জ্বর', 'সর্দির']",মাথাব্যথা,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি মাথাব্যথার জন্য প্যারাসিটামল ৫০০মিলিগ্রাম একটা করে তিন বেলা খাবার পরে খাওয়াতে পারেন । বেশি করে পানি খাওয়ান । শরীর কুসম গরম পানি দিয়ে মুছে দিন । জ্বর না কমলে একজন ডাক্তার কে দেখিয়ে নিতে পারেন । সর্দির জন্য এলাট্রল রাতে একটা করে খাওয়াতে পারেন । ধন্যবাদ
দাদ এর জন্য কি মলম ব্যবহার করব ? ২ সপ্তাহ হয়েছে কমতেছে না । ,[],[],['দাদ'],[],[],[],['২ সপ্তাহ হয়েছে কমতেছে না'],জ্বর,দাদ এর জন্য কি মলম ব্যবহার করব ? জ্বর হয়েছে কমতেছে না ।
অ্যার্লাজিজনিত ঠান্ডা থেকে পরিত্রাণের উপায় কি ? ,[],[],[],[],[],[],['ঠান্ডা'],জ্বর,অ্যার্লাজিজনিত জ্বর থেকে পরিত্রাণের উপায় কি ?
আমার নাকে ঘ্রাণ শক্তি কম অনেক দিন পাইনা আমি এখন কি করবো প্লিজ বলেন,[],[],[],[],[],[],"['নাকে ঘ্রাণ শক্তি কম', 'অনেক দিন পাইনা']",নাকে জ্বালা,আমার নাকে জ্বালা অনেক দিন পাইনা আমি এখন কি করবো প্লিজ বলেন
আমি দীর্ঘ দিন ধরে দাদ ( এলার্জি তে ) ভূগতেছি । শরীরের অনেক জায়গায় এইটি দেখা দিয়েছে । নানান ধরনের ঔষুধ / মলম / শ্যাম্পু ইউজ করেও তেমন উপকার পাই নাই । এখন কি করতে হবে,[],[],[],[],[],[],['দাদ ( এলার্জি তে )'],চুলকানি,আমি দীর্ঘ দিন ধরে চুলকানি ( এলার্জি তে ) ভূগতেছি । শরীরের অনেক জায়গায় এইটি দেখা দিয়েছে । নানান ধরনের ঔষুধ / মলম / শ্যাম্পু ইউজ করেও তেমন উপকার পাই নাই । এখন কি করতে হবে
ধন্যবাদ আপনার প্রশ্নের জন্য । সর্দি আছে ? ,[],[],[],[],[],[],['সর্দি'],জ্বর,ধন্যবাদ আপনার প্রশ্নের জন্য । জ্বর আছে ?
