serial_no,question,answer
31,কোন কোষ বিভাজন পদ্ধতিতে RBC তৈরি হয়?,mitosis
32,কোন hormone রক্তে Na+ এবং K+ এর সমতা রক্ষা করে?,এলডোস্টেরন
33,স্বাভাবিক অবস্থায় হৃদপিন্ডের পেসমেকার কোনটি?,SA node
34,নিচের কোন রক্তকণিকাটি স্মৃতিকোষ?,লিম্ফোসাইট
35,যকৃতে অবস্থিত ম্যাক্রোফেজকে কি কোষ বলে?,কুফার কোষ
36,পূর্ণবয়স্ক সুস্থ মানুষের দেহের ওজনের কত শতাংশ রক্ত থাকে?,৭-৮%
37,নিচের কোনটিতে হাইড্রার বহিঃকোষীয় পরিপাক সংঘটিত হয়?,সিলেন্টেরন
38,ব্লাড গ্রুপ AB তে প্লাজমায়-,কোন antibody থাকে না
39,কোনটি প্লাজমা প্রোটিন নয়?,ক্রিয়েটিনিন
40,কোন রক্তকণিকা দেহে antibody তৈরি করে?,বি-লিম্ফোসাইট
41,কোনটি Live attenuated ভ্যাক্সিন?,হাম
42,আমাদের জাতীয় পাখির বৈজ্ঞানিক নাম কি?,Copsychus saularis
43,মানবদেহের কোন অঙ্গে সবচেয়ে বেশি মাত্রায় রক্ত প্রবাহিত হয়?,যকৃত
44,ক্ষুদ্রান্ত্রের কোন স্তরে গবলেট কোষ থাকে?,মিউকোসা
45,ভ্রুণ অবস্থায় মাতৃগর্ভে কখন প্রথম হৃদস্পন্দন শুরু হয়?,ষষ্ঠ সপ্তাহ
46,মাতৃদুগ্ধে কোন ধরনের immunoglobulin থাকে?,IgA
47,মানুষের হৃদপিন্ডের কোন প্রকোষ্ঠের প্রাচীর সবচেয়ে পুরু?,বাম নিলয়
48,প্রজাপতি' এর প্রতিসাম্যতা কোন ধরনের?,দ্বিপার্শ্বীয়
49,ঘাসফড়িং এর কোন গ্রন্থি থেকে জুভেনাইল হরমোন ক্ষরিত হয়?,কর্পোরা অ্যালাটা
50,রক্তে অক্সিজেনের মাত্রা (O₂ saturation) ও হৃদস্পন্দন পরিমাপক যন্ত্রের নাম হল-,পালস অক্সিমিটার
51,কেঁচো কোন অঙ্গের মাধ্যমে শ্বাসপ্রশ্বাস নেয়?,ত্বক
52,কোন এনজাইম লালা গ্রন্থিতে পাওয়া যায়?,টায়ালিন
53,"কোন রক্ত কনিকা ""cell-mediated immunity” এর সাথে সম্পৃক্ত?",টি-লিম্ফোসাইট (T-lymphocyte)
54,কোনটি autosomal recessive disorder?,থ্যালাসেমিয়া
55,কোন এনজাইম আমিষ পরিপাকে সাহায্য করে?,ট্রিপসিন
56,কোন পদ্ধতিতে কোভিড ১৯ ভ্যাক্সিন প্রস্তুত করা হয় না?,বিষভিত্তিক (Toxoid)
57,কোনটি ভাইরাস বৃদ্ধিতে বাঁধা দেয়?,Interferon
58,Alveolus থেকে অক্সিজেন রক্তে কিভাবে প্রবেশ করে?,Diffusion
59,কোনটি Exocrine গ্রন্থি নয়?,Thyroid gland
60,কোনটি হাড়ের সাথে পেশি সংযুক্ত করে?,Tendon
61,মানবদেহের রক্তে কোন বাফার দ্রবণ (buffer solution) থাকে?,NaHCO3 and H2CO3
62,কোনটি আমিষ পরিপাককারী (digesting) এনজাইম?,Pepsin
63,নেমাটোসিস্টের (Nematocyst) ভিতরে বিষাক্ত তরল পদার্থের নাম কী?,Hypnotoxin
64,ঘাসফড়িং এর রক্ত কণিকার নাম কী?,Hemocyte
65,ক্ষুদ্রান্ত্রের কোন স্তরে পানপাত্র সেল (Goblet cell) পাওয়া যায়?,Mucosa
66,মাথার খুলিতে কয়টি হাড় রয়েছে?,29
67,কোনটি attenuated টিকা?,BCG vaccine
68,কোন কোষ ম্যাক্রোফেজে (macrophages) রূপান্তরিত হয়?,Monocyte
69,কোন পদ্ধতিতে Hydra লম্বা দূরত্ব অতিক্রম করে?,হামাগুড়ি (looping)
70,কোষের কোথায় ক্রেবস চক্র (Krebs cycle) সংঘটিত হয়?,Mitochondria
71,কোন এনজাইম অগ্ন্যাশয়ে নাই?,Ptyalin
72,ভ্রূণে লোহিত কণিকাসমূহ নিম্নের কোথায় তৈরি হয়?,"A,C"
73,প্রাণিজগতের বৃহত্তম Phylum কোনটি?,Arthropoda
74,লিভারের কোন লোবটি পিত্তথলির সাথে সংযুক্ত থাকে?,Right lobe
75,মানুষের সোমাটিক কোষে কয়টি অটোসোম থাকে?,44
76,গ্রোথ হরমোন কোথায় তৈরি হয়?,Pituitary gland
77,Golgi complex কোনটি সংশ্লেষ (synthesis) করে না?,Ribosome
78,পেসমেকারে কোন ব্যাটারি ব্যবহৃত হয়?,লিথিয়াম
79,দ্বিপদ নামকরণের জনক কে?,ক্যারোলাস লিনিয়াস
80,অন্তঃশ্বসন প্রধানত কোষের কোথায় সংঘটিত হয়?,মাইটোকন্ড্রিয়া
81,নিচের কোনটি হিমোসিলোমেট?,আর্থ্রোপোডা
82,কোনটির 6 টি কোডন আছে?,লিউসিন
83,অত্যাবশ্যকীয় অ্যামিনো এসিড নয় কোনটি?,লাইসিন
84,ইনসুলিন কোথা থেকে নিঃসৃত হয়?,বিটা কোষ থেকে
85,মৎস্যখনি বলা হয়?,হালদা
86,অ্যাপেন্ডিক্স কোথায় থাকে?,সিকোমে
87,পিত্তথলি কোথায় উন্মুক্ত হয়?,ডিওডেনামে
88,কত BMI কে স্বাভাবিক ওজন হিসেবে ধরা হয়?,18.5-24.9
89,লোহিত রক্তকণিকার সাথে সম্পৃক্ত নয় কোনটি?,ফ্যাগোসাইটোসিস
90,কোনটি O₂ যুক্ত রক্ত পরিবহন করে?,পালমোনারি শিরা
91,কোনটি লালাগ্রন্থি নয়?,ম্যাক্সিলারি
92,স্বরযন্ত্রের তরুণাস্থি নয় কোনটি?,হাইওয়েড
93,শ্রোণী অস্থি নয় কোনটি?,ভোমার
94,দেহের ভারসাম্য রক্ষা করে কোনটি?,অন্তঃকর্ণ
95,বয়ঃসন্ধিকালে জরায়ু বৃদ্ধি নিয়ন্ত্রণে ভূমিকা নেই কার?,টেস্টোস্টেরন
96,গ্রন্থিরাজ বলা হয় কোনটিকে?,পিটুইটারি
97,মানবদেহে কোন ইউমিউনোগ্লোবিউলিন অনুপস্থিত?,IgB
98,সেক্স লিঙ্কড জিন নয় কোনটি?,ডাইবেটিস মেলাইটাস
99,রক্ত জমাট বাধার ফ্যাক্টর নয় কোনটি?,K
100,নিচের কোন প্রাণীটি ত্রিস্তরী?,কেঁচো
101,রক্তে গ্লুকোজের মাত্রা নিয়ন্ত্রণে কোন সংবহনতন্ত্রের ভূমিকা রয়েছে?,যকৃত পোর্টালতন্ত্র
102,মূত্রে অস্বাভাবিক হারে অ্যালবুমিন নির্গত হওয়াকে কী বলে?,নেফ্রসিস
103,কোনটি মুখমন্ডলের অস্থি নয়?,এথময়েড
104,উদরীয় টনসিল নামে পরিচিত কোনটি?,অ্যাপেনডিক্স
105,পরিপাক সংবহনের কাজ দুটি সম্পাদন করে-,সিলেন্টেরণ
106,নাইট্রোজেন সংবন্ধন করে নিচের কোনটি?,সবগুলো
107,কোনটি বহুরূপী ব্যাকটেরিয়া?,Rhizobium
108,রুই মাছের আঁশের বৃদ্ধি কোন সময়ে বেশি হয়?,বসন্তকালে
109,কোন গ্রন্থির ক্ষরণকাল আজীবন নয়?,থাইমাস
110,প্রতিবর্তী ক্রিয়া নিয়ন্ত্রিত হয় কোন অঙ্গ দ্বারা?,সুষুম্নাকান্ড
111,রেচনতন্ত্র শিখাকোষ নিয়ে গঠিত কোন পর্বের প্রাণীর?,প্লাটিহেলমেনথিস
112,নিচের কোনটি শ্বাসরঞ্জক নয়?,ক্লোরোসায়ানিন
113,Erythoprotein কোথায় তৈরি হয়?,কিডনি
114,এন্টিবডির গড়ন দেখতে কোন প্রকৃতির?,Y- আকৃতির
115,কোন এনজাইম ব্যাকটেরিয়া ধ্বংস করে?,লাইসোজাইম
116,হিমোগ্লোবিনের কোন অংশে CO₂ যুক্ত হয়?,-NH:
117,সরিসৃপের যুগ কোনটি?,মেসোজয়িক
118,কোন প্রাণীর ক্ষেত্রে পুরুষ অপেক্ষা স্ত্রীতে একটি ক্রোমোজোম বেশী থাকে?,ঘাসফড়িং
119,সবচেয়ে বেশি খাদ্যসার শ্যোবত হয়-,জেজুনাম
120,নিচের কোন কোষ যেকোনো ধরনের কোষে পরিণত হতে পারে?,ইন্টারস্টিশিয়ান কোষ
121,প্লাজমার কোন উপাদান রক্তক্ষরণ বন্ধে সহায়তা করে?,ফাইব্রিনোজেন
122,বর্ণান্ধ বাবা ও স্বাভাবিক দৃষ্টির মায়ের (বাহক নয়) কন্যা সন্তানের স্বাভাবিক দৃষ্টির সম্ভাব্য হার কত?,100%
123,রাইবোজ-,বিভিন্ন কো-এনজাইম তৈরিতে ব্যবহৃত হয়
124,নিচের কোনটি লাইসোসোম (Lysosome) এর বৈশিষ্ট্য?,বিভিন্ন ধরনের এনজাইম থাকে
125,কোন পর্বের প্রাণীতে র ্যাবডিটিফর্ম লার্ভা দশা দেখা যায়?,Nematoda
126,নিচের কোনটিতে অরীয় প্রতিসাম্য দেখা যায়?,জেলিফিস
127,মুখমন্ডলীয় অস্থিতে প্যালেটিন এর সংখ্যা কত?,২
128,রেটিনার কোন ধরনের কোষ থেকে অপটিক স্নায়ু তৈরী হয়?,গাংগ্লিওন কোষ
129,নিচের কোন দুইটি অস্থি । আকৃতির?,"ম্যাক্সিলা, ম্যান্ডিবল"
130,হাইড্রা সামারসল্টিং চলনে একবার চললে কয়টি লুপ তৈরী করে?,২টি
131,অগ্রবক্ষের বড় এবং চওড়া অংশের নাম কি?,প্রোটোনাম
132,রুই মাছের ক্ষেত্রে নিচের কোনটি সঠিক নয়?,রক্ত কণিকা ৩ ধরনের
133,পোডোসাইট কোথায় পাওয়া যায়?,রেনাল করপাসল
134,হাইড্রার দেহের Life Playing Guest বলা হয় কাকে?,Zoochlorellae
135,কোনটির অভাবে টিটেনি হয়?,প্যারাধরমোন
136,ইঁদুর এর ক্ষেত্রে কোনটি ফিনাইল এলানিন কোড করে?,UUU
137,Tidal Volume এর মান কত?,500 ml
138,New Born Baby এর ক্ষেত্রে প্রতি মিনিটে হৃদস্পন্দন হার কত?,১৪০-১৫০
139,সুপারফিশিয়াল কটিক্যাল নেফ্রন কত শতাংশ?,85%
140,ক্ল্যাভিকল অ্যারোমিয়াল প্রান্ত দিয়ে কার সাথে যুক্ত হয়?,স্ক্যাপুলা
141,নিম্নের কোনটি ভ্রূণের এক্টোডার্ম থেকে তৈরি হয়?,স্নায়ুতন্ত্র
142,এনজাইনার ব্যাথা কতক্ষণ স্থায়ী হয়?,৫-৩০ মিনিট
143,ক্লোরোকুইন ওষুধ কোথায় শোষিত হয়?,ক্ষুদ্রান্ত্র
144,শ্বাসনালি কোন ধরনের তরুনাস্থি নির্মিত?,হায়ালিন
145,মানবদেহের দীর্ঘতম কোষ কোনটি?,নিউরন
146,কোন ভিটামিন কোলেস্টেরল থেকে উৎপন্ন হয়?,ভিটামিন-ডি
147,প্রাণীর নখে কোন ধরনের প্রোটিন থাকে?,কেরাটিন
148,কোন ব্যাকটেরিয়া ভিটামিন উৎপন্ন করে?,Escherichia
149,05. দেহের জন্যে ভালো কোলোস্টেরল কোনটি?,HDL
150,মানবদেহের সুনির্দিষ্ট প্রতিরক্ষায় তৃতীয় জ্বরে কাজ করে কোনটি?,লিম্ফোসাইটস
151,কোন লালাগ্রন্থির ভাইরাসজনিত সংক্রমণকে মাম্পস বলে?,প্যারোটিড
152,মেরুদন্ডের কোন অংশে সবচেয়ে বেশি কশেরুকা থাকে?,থোরাসিক
153,ট্রিপসিন জারকের জন্যে সঠিক কোনটি?,এন্টারোকাইনেজের উপস্থিতিতে সক্রিয় হয়
154,পূর্ণবয়স্ক সুস্থ মানুষের দু'টি ফুসফুসে আলভিওলাসের সংখ্যা কত?,৭০০ মিলিয়ন
155,নিচের কোনটিতে রেনাল পোর্টাল সিস্টেম উন্নত ধরণের?,সরীসৃপ
156,মানবদেহের সবচেয়ে ছোট অস্থি কোনটি?,স্টেপিস
157,মানবদেহে অক্সিজেন পরিবহনে কোনটি সঠিক?,ব্যাপন প্রক্রিয়ায় অক্সিজেন কোষাভ্যন্তরে প্রবেশ করে
158,কোন রক্তকণিকা হিস্টামিন নিঃসরণ করে?,বেসোফিল
159,রক্ততঞ্চনের কোন ফ্যাক্টরকে স্ট্যাবল ফ্যাক্টর বলে?,ফ্যাক্টর VII
160,করোনারী হৃদরোগ নির্ণয়ে প্রথম পরীক্ষা কোনটি?,ই. সি. জি
161,বি এম আই (BMI) 37 kg/m² হলে তা স্থূলতার কোন স্তর?,দ্বিতীয় স্তর
162,এপিগ্লটিসে কোন ধরনের তরুণাস্থি থাকে?,পীত তত্ত্বময়
163,মানবদেহে খনিজ লবণ (mineral) এর কাজ কি?,পুষ্টি ও বৃদ্ধিতে সহায়তা
164,একজন প্রাপ্তবয়স্ক মানুষের উপরের পাটির দন্ত-সংকেত কোনটি?,I2C1PM2M3
165,মানুষের হৃৎপিন্ডের বৈশিষ্ট্য কোনটি?,হৃৎপেশির নিঃসাড় কাল দীর্ঘ
166,"মানুষ সর্বভুক প্রাণি। কারণ, মানুষের-","কর্তন, ছেদন ও পেষণ দাঁত আছে"
167,লসিকার (lymph) বৈশিষ্ট্য কোনটি?,লিপিড পরিবহন করে
168,নিঃশ্বাস প্রক্রিয়ায় কোনটি সঠিক?,বক্ষ-গহ্বর ও ফুসফুসের আয়তন হ্রাস পায়
169,মানুষের দাঁত কোন ধরণের?,ডিফায়োডন্ট
170,কোন গ্রন্থি আমিষ শোষণ নিয়ন্ত্রণ করে?,থাইরয়েড
171,খাদ্যের ব্যাকটেরিয়া ধ্বংস করে দাঁতকে রক্ষা করে কোনটি?,লাইসোজাইম
172,ধমনি বিষয়ে কোনটি সঠিক?,কৈশিক জালিকায় সমাপ্ত হয়
173,নিচের কোনটি সেক্স লিংকড (Sex-linked) রোগ নয়?,এ্যানিমিয়া
174,নিচের কোন প্রক্রিয়াটি কোষের জেনেটিক্যালি নিয়ন্ত্রিত মৃত্যু?,Apoptosis
175,জিহ্বার কোন অংশে লবণাক্ত স্বাদ অনুভূত হয়?,পার্শ্বদেশ
176,"চিকিৎসা বিদ্যার কোন শাখায় স্থূলতার কারণ, প্রতিরোধ ও চিকিৎসা সম্বন্ধে আলোচনা করা হয়?",Bariatrics
177,নিচের কোনটি হ্যাগফিশ (Hagfish) নামে পরিচিত?,Myxini
178,"চিকিৎসা বিদ্যার কোন শাখায় স্থূলতার কারণ, প্রতিরোধ ও চিকিৎসা সম্বন্ধে আলোচনা করা হয়?",Bariatrics
179,নিচের কোনটি মেগাক্যারিওসাইট (Megakaryocytes) থেকে উৎপত্তি লাভ করে?,থ্রোম্বোসাইট
180,গলগণ্ড রোগ হয় কোনটির অভাবে?,lodin
181,একটি জিন অন্য জিনের কার্যকারিতা প্রকাশে বাধা দেয়ার প্রক্রিয়াকে কি বলে?,Epistasis
182,কোন প্রানির হৃৎপিন্ডকে ভেনাস হার্ট বলে?,রুই মাছ
183,কোন ভিটামিন কোলেস্টেরল থেকে উৎপন্ন হয়?,Vit-D
184,নিচের কোনটি সঠিক-,শর্করা সঞ্চয় করে অ্যামাইলোপ্লাস্ট
185,এক জোড়া ক্রোমোসোম এক সাথে অবস্থান করলে তাকে কি বলে?,অ্যালিল
186,কোন অঙ্গাণু তে নিজস্ব ডিএনএ পাওয়া যায়?,মাইটোকনড্রিয়া
187,মাইটোসিস কোষ বিভাজনের কোন ক্ষেত্রে মেটাকাইনেসিস (Metakinesis) সংঘটিত হয়?,মেটাফেজ
188,কোন প্রক্রিয়ায় RNA হতে DNA তৈরি হয়?,রিভার্স ট্রান্সক্রিপশন
189,মানব শরীরে কোন লিপিড (Lipid) টি সবচেয়ে বেশী থাকে?,কোলেস্টেরল
190,লার্ভা (Larva) কে সচারচর কোন নামে ডাকা হয়?,Nymph
191,নিচের কোন এনজাইমটি পিত্তরস (Bile) এ থাকে?,কোনটি নয়
192,নিচের কোনটি সাগর ফোয়ারা (Sea squirt) নামে পরিচিত?,Urochordata
193,নিচের কোনটি চর্বিতে দ্রবণীয় ভিটামিন নয়?,ভিটামিন সি
194,নিচের কোনটি পাকস্থলীর প্যারাইটাল সেল থেকে নিঃসৃত হয়?,গ্যাসট্রিন
195,নিচের কোন প্লাজমা প্রোটিন (Plasma protein) টি লিভারে তৈরী হয় না?,Immunoglobulin
196,নিচের কোন ভিটামিন মানব দেহে তৈরী হয়?,ফলিক এসিড
197,প্যানক্রিয়াসের আইলেটস অব ল্যাঙ্গার হ্যান্স এর কোন কোষ (Cells) থেকে ইনসুলিন নিঃসৃত হয়?,বিটা কোষ
198,এমআরআই (MRI) এর অর্থ কি?,Magnetic Resonance Imaging
199,নিচের কোনটি যকৃতের সবচেয়ে বড় খন্ড (Lobe)?,Right lobe
200,প্রাণিজগতের ক্ষুদ্রতম পর্ব (Phylum) কোনটি?,Placozoa
201,আবরণী কলার নিচের কোনটি নড়াচড়ার কাজে ব্যবহৃত হয়?,সিলিয়া
202,শ্বসনতন্ত্রের উৎপত্তি কোথা থেকে হয়?,Endoderm
203,সিক্রেটিন নিঃসৃত হয় কোথায় থেকে?,Duodenum
204,রক্তের pH কত?,7.4
205,হাইড্রার চলন নয় কোনটি?,ড্রপিং
206,কম্বোজ প্রাণি কোনটি?,মলাস্কা
207,রেচনতন্ত্র শিখা কোষ দিয়ে কোনটি গঠিত?,Fasciola hepatica
208,নিডোব্লাস্টের কাজ নয় কোনটি?,পরিপাক
209,ঘাস ফড়িং এর শ্রেণি বিন্যাস নয় কোনটি?,Class: Pterygota
210,যকৃতের আবরণ কোনটি?,গ্লিসন ক্যাপসুল
211,কোনটি ওজন বাড়ায় না?,লরকেস্টিন
212,ফাইব্রিন জালক সৃষ্টি করে কত নং ফ্যাক্টর?,ফ্যাক্টর-১৩
213,ম্যক্রোলেসিথাল কার ডিম্বাণু?,মানুষ
214,কোন পর্বের প্রাণিদের Plannula লার্ভা দশা রয়েছে?,Cnidaria
215,মানবদেহে বৃক্কের মাধ্যমে প্রতি মিনিটে কী পরিমাণ রক্ত প্রবাহিত হয়?,1200 ঘনসেমি
217,আইলেটস অব ল্যাঙ্গারহ্যানস এর কোষ নয় কোনটি?,গামা
218,নিচের কোন কোষ এন্টিবডি তৈরি করে?,প্লাজমা B কোষ
219,পৌষ্টিক নালির প্রাচীরে বিকশিত লসিকা নালিদের কি বলে?,ল্যাকটিয়েলস
220,শ্বাসনালি কোন ধরনের তরুনাস্থি নির্মিত?,হায়ালিন
221,কোনটি ভাইরাস বৃদ্ধিতে বাঁধা দেয়?,Interferon
222,Alveolus থেকে অক্সিজেন রক্তে কিভাবে প্রবেশ করে?,Diffusion
223,কোনটি Exocrine গ্রন্থি নয়?,Thyroid gland
224,কোনটি হাড়ের সাথে পেশি সংযুক্ত করে?,Tendon
225,মানবদেহের রক্তে কোন বাফার দ্রবণ (buffer solution) থাকে?,NaHCO₃ and H₂CO₃
226,কোনটি আমিষ পরিপাককারী (digesting) এনজাইম?,Pepsin
227,নেমাটোসিস্টের (Nematocyst) ভিতরে বিষাক্ত তরুণ পদার্থের নাম কী?,Hypnotoxin
228,ঘাসফড়িং এর রক্ত কণিকার নাম কী?,Hemocyte
229,ক্ষুদ্রান্ত্রের কোন জ্বরে পানপাত্র সেল (Goblet cell) পাওয়া যায়?,Mucosa
230,মাথার খুলিতে কয়টি হাড় রয়েছে?,29
231,কোন কোষ ম্যাক্রোফেজে (macrophages) রূপান্তরিত হয়?,Monocyte
232,কোনটি attenuated টিকা?,BCG vaccine
233,কোন পদ্ধতিতে Hydra লম্বা দূরত্ব আক্রম করে?,হামাগুড়ি (looping)
234,কোষের কোথায় ক্রেবস চক্র (Krebs cycle) সংঘটিত হয়?,Mitochondria
235,কোন এনজাইম অগ্ন্যাশয়ে নাই?,Ptyalin
236,প্রাণিজগতের বৃহত্তম Phylum কোনটি?,Arthropoda
237,লিভারের কোন লোবটি পিত্তথলির সাথে সংযুক্ত থাকে?,Right lobe
238,গ্রোথ হরমোন কোথায় তৈরি হয়?,Pituitary gland
239,Golgi complex কোনটি সংশ্লেষ (synthesis) করে না?,Ribosome
240,ভ্রূণে লোহিত কণিকাসমূহ নিম্নের কোথায় তৈরি হয়?,"A,C"
241,নিচের কোন গ্রন্থিটি ভিন্ন প্রকৃতির?,এড্রেনাল
242,কবুতর' কোন শ্রেণির প্রাণী?,Aves
243,মানবদেহের কোন অঙ্গ ফিব্রিনোজেন তৈরি করে?,যকৃত
244,নিচের কোনটি দ্বিস্তরী?,হাইড্রা
245,সবচেয়ে বেশি খাদ্যসার শোষণ হয় কোথায়?,জেজুনামে
246,সর্বজনীন গ্রহীতা Blood group কোনটি?,AB
247,মানবদেহের কোন অঙ্গে সর্বোচ্চ সংখ্যক গবলেট কোষ পাওয়া যায়?,বৃহদন্ত্র
248,হৃৎপিণ্ডে অবস্থিত কোন সংযোগকারী কলা (Junctional tissue) কে পেসমেকার বলা হয়?,সাইনো-অ্যাট্রিয়াল নোড
249,ঘাসফড়িং এর হেপাটিক সিকা কয়টি?,12
250,পাকস্থলির কোন কোষ থেকে হাইড্রোক্লোরিক এসিড নিঃসৃত হয়?,প্যারাইটাল কোষ
251,নিচের কোন অঙ্গ ইরাইস্ট্রোপোয়েটিন (Erythropoietin) উৎপাদন করে?,বৃক্ক
252,শ্বাসতন্ত্রের কোন অংশে গ্যাসীয় বিনিময় হয়?,অ্যালভিওলাস
253,প্যারাসিমপ্যাথেটিক স্নায়ু নিচের কোন করোটিক স্নায়ুতে পাওয়া যায়?,অকূলোমোটর
254,হাইড্রার কোন অংশে নিডোসাইট কোষ সবচেয়ে বেশি থাকে?,কর্ষিকা
255,নিচের কোনটিতে ঐচ্ছিক পেশি পাওয়া যায়?,জিহ্বা
256,কোন রক্ত কণিকা অ্যান্টিবডি তৈরি করে?,বি-লিম্ফোসাইট
257,আন্তঃকশেরুকা চাকতিতে কী ধরনের তরুণাস্থি পাওয়া যায়?,শ্বেত-তত্ত্বময় তরুণাস্থি
258,মাইটোসিসে কোষের ভিতয়ে নিউক্লিয়াসের বিভাজনকে কী বলে?,ক্যারিওকাইনেসিস
259,নিচের কোনটি রক্তনালির সংকোচন ঘটিয়ে রক্তপাত হ্রাস করে?,সেরোটোনিন
260,নিচের কোন হরমোনটি রক্তে সোডিয়ামের মাত্রা নিয়ন্ত্রণ করে?,অ্যালডোস্টেরন
261,নিচের কোনটি মিশ্র করোটিক স্নায়ু (Mixed cranial nerve) নয়?,হাইপোগ্লোসাল
262,কোন প্রক্রিয়ায় নিউক্লিয়াসের বিভাজন ঘটে?,ক্যারিওকাইনেসিস
263,নিচের কোনটি খাদ্য গিলে ফেলার সময় স্বরযন্ত্র (Larynx) এর ছিদ্র বন্ধ করে?,আলজিহ্বা
264,কোন ধমনি রুই মাছের বক্ষ পাখনাকে (pectoral fin) রক্ত সরবরাহ করে?,সাবক্ল্যাভিয়ান ধমনি
265,ঘাসফড়িং-এর স্পাইরাকল কে ঘিরে রাখে কোনটি?,পেরিট্রিম
266,মানুষের ক্ষেত্রে নিচের কোনটি এক্টোডার্ম (Ectoderm) থেকে গঠিত হয়?,চক্ষুর লেন্স
267,নিচের কোন হরমোনটি ডিম্বাশয়ের কর্পাস লুটিয়াম থেকে নিঃসৃত হয়?,প্রোজোস্টেরন
268,নিচের কোন গ্রন্থির নালি দ্বিতীয় ঊর্ধ্ব মোলার দাঁতের মুখগহ্বরে উন্মুক্ত হয়?,প্যারোটিড গ্রন্থি
269,কোষের কোন অঙ্গাণু অটোফ্যাগিতে জড়িত?,লাইসোসোম
270,কোনটি কিডনীর কাজ নয়?,শ্বেত কণিকা (WBC) উৎপাদন
271,মানুষের মুখমণ্ডলে কতগুলো অস্থি আছে?,১৪
272,রক্ত জমাট বাঁধতে নিচের কোন ধাতব আয়নটি অংশগ্রহণ করে?,Ca++
273,ক্রোমাটোগ্রাফির (Chromatography) কয়টি পর্যায় (Phase) আছে?,02
274,নিচের কোনটি পিত্তরসের উপাদান নয়?,গ্লুকোজ
275,নিচের কোনটি পশ্চাৎ মস্তিষ্কের (Hindbrain) অংশ নয়?,হাইপোথ্যালামাস
276,কোনটি চোখে প্রতিসারক মাধ্যম হিসাবে কাজ করে না?,রেটিনা
277,নিচের কোন হরমোনটি পাকস্থলির HCI নিঃসরণ নিয়ন্ত্রণ করে?,গ্যাস্ট্রিন
