text,Specialist,target_specialist,modified_specialist,modified_sentence,eval_target_specialist,correct_prediction,correct_raw_response,hallucinated_prediction,hallucinated_raw_response
Thank you for asking question to Daktarbhai . Pls Consult a skin specialist doctor physically . Thank you . ,skin specialist doctor,skin specialist doctor,dermatologist,Thank you for asking question to Daktarbhai . Pls Consult a dermatologist physically . Thank you .,skin specialist doctor,0.0,"ANSWER: 0

The extracted entity ""skin specialist doctor"" is mentioned in the given text, so it is not hallucinated.",0.0,"ANSWER: 0

The extracted entity ""skin specialist doctor"" is not hallucinated. A dermatologist is a skin specialist doctor, and the text specifically mentions ""Please Consult a dermatologist physically."" Therefore, the extracted entity is accurate and consistent"
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । মুখে ব্রন ছাড়াও অনেক ধরনের দাগ জনিত রোগ হয় । একেক রোগের চিকিৎসা একেক রকমের । আপনি পানি বেশি করে পান করুন । মুখ পরিষ্কার রাখবেন । দুশ্চিন্তা করবে না । রাত জাগবেন না । একজন চর্ম রোগের ডাক্তারকে দেখিয়ে ঔষধ গ্রহন করুন । ধন্যবাদ,চর্ম রোগের ডাক্তারকে,চর্ম রোগের ডাক্তারকে,অ্যালার্জি বিশেষজ্ঞকে,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । মুখে ব্রন ছাড়াও অনেক ধরনের দাগ জনিত রোগ হয় । একেক রোগের চিকিৎসা একেক রকমের । আপনি পানি বেশি করে পান করুন । মুখ পরিষ্কার রাখবেন । দুশ্চিন্তা করবে না । রাত জাগবেন না । একজন অ্যালার্জি বিশেষজ্ঞকে দেখিয়ে ঔষধ গ্রহন করুন । ধন্যবাদ,চর্ম রোগের ডাক্তারকে,0.0,"ANSWER: 0

The extracted entity ""চর্ম রোগের ডাক্তারকে"" (a dermatologist) is mentioned in the given text. The text advises the reader to",1.0,"ANSWER: 1

The text mentions ""একজন অ্যালর্জি বিশেষজ্ঞকে দেখিয়ে ঔষধ গ"
ধন্যবাদ আপনার প্রশ্নের জন্য । সাইকিয়াট্রিস্ট দেখাবেন । ধন্যবাদ,সাইকিয়াট্রিস্ট,সাইকিয়াট্রিস্ট,নিউরোলজিস্ট,ধন্যবাদ আপনার প্রশ্নের জন্য । নিউরোলজিস্ট দেখাবেন । ধন্যবাদ,সাইকিয়াট্রিস্ট,0.0,"ANSWER: 0

The extracted entity ""সাইকিয়াট্রিস্ট"" (psychiatrist) is present in the given text. Therefore, it is not hallucinated.",1.0,"ANSWER: 1

The text mentions ""নিউরোলজিস্ট"" (neurologist), but the extracted entity is ""সাইকিয়াট্রিস"
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । উনার ব্লাড প্রেসার কি low থাকে ? ? তাছারা উনার কি জ্বর আসে মাঝেমাঝে ? ? উনার blood pressure চেক করবেন । CBC with ESR with PBF পরীক্ষা করবেন এবং মেডিসিন বিশেষজ্ঞের পরামর্শ নিবেন । ,মেডিসিন বিশেষজ্ঞের,মেডিসিন বিশেষজ্ঞের,হৃদরোগ বিশেষজ্ঞের,ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । উনার ব্লাড প্রেসার কি low থাকে ? ? তাছারা উনার কি জ্বর আসে মাঝেমাঝে ? ? উনার blood pressure চেক করবেন । CBC with ESR with PBF পরীক্ষা করবেন এবং হৃদরোগ বিশেষজ্ঞের পরামর্শ নিবেন ।,মেডিসিন বিশেষজ্ঞের,0.0,"ANSWER: 0

The extracted entity ""মেডিসিন বিশেষজ্ঞের"" (medicine specialist's) is mentioned in the given text. The text advises to consult a medicine specialist,",1.0,"ANSWER: 1

The extracted entity ""মেডিসিন বিশেষজ্ঞের"" (medicine specialist) is not mentioned in the given text. The text specifically mentions ""হৃদ"
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । এক বছর ধরে সর্দি , কাশি না আপনি তারিখ ভুল করছেন , বোঝা যাচ্ছে না । আপনার মাথা ঘুড়ানোর অন্য কোনো কারন থাকতে পারে । কানে কম শুনলে বা কানে ইনফেকশনের জন্য মাথা ঘুড়তে পারে । একজন ভাল নাক কান গলা ডাক্তার কে দেখিয়ে পরামর্শ নিন । আপনাকে একজন নিউরো মেডিসিন ডাক্তারো দেখাতে হতে পারে । ধন্যবাদ",নাক কান গলা ডাক্তার | নিউরো মেডিসিন,নাক কান গলা ডাক্তার | নিউরো মেডিসিন,নিউরোলজিস্ট,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । এক বছর ধরে সর্দি , কাশি না আপনি তারিখ ভুল করছেন , বোঝা যাচ্ছে না । আপনার মাথা ঘুড়ানোর অন্য কোনো কারন থাকতে পারে । কানে কম শুনলে বা কানে ইনফেকশনের জন্য মাথা ঘুড়তে পারে । একজন ভাল নাক কান গলা ডাক্তার কে দেখিয়ে পরামর্শ নিন । আপনাকে একজন নিউরোলজিস্ট ডাক্তারো দেখাতে হতে পারে । ধন্যবাদ",নাক কান গলা ডাক্তার | নিউরো মেডিসিন,0.0,"ANSWER: 0

The extracted entities ""নাক কান গলা ডাক্তার"" (ENT doctor) and ""নিউরো মেডিসিন",1.0,"ANSWER: 1

Explanation: The text mentions ""নাক কান গলা ডাক্তার"" (ENT doctor) but does not mention ""নিউরো মে"
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ এই অবস্হায় সরাসরি না দেখে এবং পরীক্ষা না করে কিছু বলা ঠিক হবেনা আপনি একজন Medicine Speacialist এর পরামর্শ নিন ধন্যবাদ,Medicine Speacialist,Medicine Speacialist,General Physician,ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ এই অবস্হায় সরাসরি না দেখে এবং পরীক্ষা না করে কিছু বলা ঠিক হবেনা আপনি একজন General Physician এর পরামর্শ নিন ধন্যবাদ,Medicine Speacialist,0.0,"ANSWER: 0

The extracted entity ""Medicine Speacialist"" is mentioned in the given text, albeit with a minor spelling error (""Speacialist"" instead of ""Specialist""). Therefore, the entity is not hallucinated.",1.0,"ANSWER: 1

The text mentions a ""General Physician"" and does not mention a ""Medicine Specialist."" Therefore, the extracted entity ""Medicine Specialist"" is hallucinated."
Sir Amar khub hath abong pa ghamay ami akjon neurologist dekhyci tini ay roger name bollen hyparosis to tini amak amelin - 10 . indevar - 10 . nortin - 10 khayte dice agula khawar por kono improve hoy ny akhon ami ki korbo,neurologist,neurologist,endocrinologist,Sir Amar khub hath abong pa ghamay ami akjon endocrinologist dekhyci tini ay roger name bollen hyparosis to tini amak amelin - 10 . indevar - 10 . nortin - 10 khayte dice agula khawar por kono improve hoy ny akhon ami ki korbo,neurologist,0.0,"The text mentions that the person consulted a neurologist: ""ami akjon neurologist dekhyci."" Therefore, the extracted entity ""neurologist"" is not hallucinated.

ANSWER: 0",1.0,"ANSWER: 1

The text mentions that the person saw an endocrinologist, not a neurologist. Therefore, the extracted entity ""neurologist"" is hallucinated."
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । Syp Tofen 1 . 5 চামচ করে রাতে খাওয়াতে পারেন আপনি সরাসরি একজন Pedatrician এর পরামর্শ নিন ধন্যবাদ,Pedatrician,Pedatrician,শিশু অ্যালার্জি বিশেষজ্ঞ,ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । Syp Tofen 1 . 5 চামচ করে রাতে খাওয়াতে পারেন আপনি সরাসরি একজন শিশু অ্যালার্জি বিশেষজ্ঞ এর পরামর্শ নিন ধন্যবাদ,Pedatrician,0.0,"ANSWER: 0

The extracted entity ""Pedatrician"" is mentioned in the given text, so it is not hallucinated.",1.0,"ANSWER: 1

The text mentions ""শিশু অ্যালার্জি বিশেষজ্ঞ"" which translates to ""child allergy specialist"" and not ""pediatrician"
ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । আপনার গালের সাদা স্পট না দেখে চিকিত্সা দেয়া সম্ভব হবে না । সুতরাং আপনি একজন চর্মরোগ বিশেষজ্ঞের পরামর্শ নিন । ধন্যবাদ,চর্মরোগ বিশেষজ্ঞের,চর্মরোগ বিশেষজ্ঞের,অ্যালার্জি বিশেষজ্ঞের,ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । আপনার গালের সাদা স্পট না দেখে চিকিত্সা দেয়া সম্ভব হবে না । সুতরাং আপনি একজন অ্যালার্জি বিশেষজ্ঞের পরামর্শ নিন । ধন্যবাদ,চর্মরোগ বিশেষজ্ঞের,0.0,"ANSWER: 0

The extracted entity ""চর্মরোগ বিশেষজ্ঞের"" (dermatologist's) is present in the given text and is not hallucinated. The text",1.0,"ANSWER: 1

The text mentions ""অ্যালর্জি বিশেষজ্ঞের"" (allergy specialist) but the extracted entity is ""চর্মরোগ"
Thank you for asking your question to daktarbhai . Apnar keno ai shomossha hosse ta na jene kono oushud khawa jabe na . apni akjon urology doctor ke dekhaben . ,urology doctor,urology doctor,nephrology doctor,Thank you for asking your question to daktarbhai . Apnar keno ai shomossha hosse ta na jene kono oushud khawa jabe na . apni akjon nephrology doctor ke dekhaben .,urology doctor,0.0,"ANSWER: 0

The text mentions ""urology doctor"" (urology doctor ke dekhaben), so the extracted entity ""urology doctor"" is not hallucinated.",1.0,"ANSWER: 1

The text mentions ""nephrology doctor"" (kidney specialist), not ""urology doctor"" (specialist in the urinary tract and male reproductive system). Therefore, the extracted entity ""urology doctor"" is"
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । যেহেতু ব্যাথানাশক ঔষধ খেয়েও ব্যাথা কমেনি , সমস্যাটি গুরুতর । একজন অর্থোপেডিক্স বিশেষজ্ঞের সাথে সরাসরি দেখা করে পরামর্শ নিন । গরম শেক দিন । ধন্যবাদ । ",অর্থোপেডিক্স,অর্থোপেডিক্স,রিউমাটোলজি,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । যেহেতু ব্যাথানাশক ঔষধ খেয়েও ব্যাথা কমেনি , সমস্যাটি গুরুতর । একজন রিউমাটোলজি বিশেষজ্ঞের সাথে সরাসরি দেখা করে পরামর্শ নিন । গরম শেক দিন । ধন্যবাদ ।",অর্থোপেডিক্স,0.0,"ANSWER: 0

The extracted entity ""অর্থোপেডিক্স"" is mentioned in the given text, so it is not hallucinated.",1.0,"ANSWER: 1

The text does not mention ""অর্থোপেডিক্স"" (orthopedics). The text advises consulting a rheumatology specialist (রিউমাটোল"
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ আপনি NAN 1 খাওয়াতে পারেন একজন শিশু Specialist এর পরামর্শ নিতে পারেন ধন্যবাদ,শিশু Specialist,শিশু Specialist,শিশু রোগ বিশেষজ্ঞ,ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ আপনি NAN 1 খাওয়াতে পারেন একজন শিশু রোগ বিশেষজ্ঞ এর পরামর্শ নিতে পারেন ধন্যবাদ,শিশু Specialist,0.0,"ANSWER: 0

The extracted entity ""শিশু Specialist"" (Child Specialist) is mentioned in the given text. The text suggests that one can take advice from a child specialist, which confirms the presence of the entity.",,"The extracted entity ""শিশু Specialist"" is a reasonable interpretation of the text, as the text mentions ""শিশু রোগ বিশেষজ্ঞ"" which translates to ""pediatric"
ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । প্রথমত আপনাকে খাবার খেতে হবে ঠিকমতো । tab - filwel gold 0 + 1 + 0 ১ মাস এই মাল্টিভিটামিন খেতে পারেন । Tab - ovocal D 1 + 0 + 0 ১ মাস খাবেন । একজন গাইনি বিশেষজ্ঞ চিকিৎসক এর পরামর্শ নিবেন । ,গাইনি বিশেষজ্ঞ চিকিৎসক,গাইনি বিশেষজ্ঞ চিকিৎসক,স্ত্রীরোগ বিশেষজ্ঞ চিকিৎসক,ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । প্রথমত আপনাকে খাবার খেতে হবে ঠিকমতো । tab - filwel gold 0 + 1 + 0 ১ মাস এই মাল্টিভিটামিন খেতে পারেন । Tab - ovocal D 1 + 0 + 0 ১ মাস খাবেন । একজন স্ত্রীরোগ বিশেষজ্ঞ চিকিৎসক এর পরামর্শ নিবেন ।,গাইনি বিশেষজ্ঞ চিকিৎসক,0.0,"ANSWER: 0

The extracted entity ""গাইনি বিশেষজ্ঞ চিকিৎসক"" (gynecology specialist doctor) is mentioned in the given text. The text advises",,"The text mentions ""একজন স্ত্রীরোগ বিশেষজ্ঞ চিকিৎসক"" which translates to ""a gynecologist"" or ""a"
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । এ ধরেনের সমস্যায় কিছু পরীক্ষার মাধ্যমে সঠিক রোগ নির্নয় করে চিকিৎসা দেয়া প্রয়োজন । আপনি একজন চর্মরোগ বিশেষজ্ঞের সাথে সরাসরি যোগাযোগ করুন । ধন্যবাদ । ,চর্মরোগ বিশেষজ্ঞের,চর্মরোগ বিশেষজ্ঞের,অ্যালার্জি বিশেষজ্ঞের,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । এ ধরেনের সমস্যায় কিছু পরীক্ষার মাধ্যমে সঠিক রোগ নির্নয় করে চিকিৎসা দেয়া প্রয়োজন । আপনি একজন অ্যালার্জি বিশেষজ্ঞের সাথে সরাসরি যোগাযোগ করুন । ধন্যবাদ ।,চর্মরোগ বিশেষজ্ঞের,0.0,"ANSWER: 0

The extracted entity ""চর্মরোগ বিশেষজ্ঞের"" (dermatologist) is mentioned in the given text. Therefore, it is not hallucinated.",1.0,"ANSWER: 1

The text mentions ""অ্যালার্জি বিশেষজ্ঞের"" (allergy specialist) but the extracted entity is ""চর্মরো"
Thanks for questioning daktarbhai . Please contact with a paediatric doctor physically then take any medicine . Thanks,paediatric doctor,paediatric doctor,neonatologist,Thanks for questioning daktarbhai . Please contact with a neonatologist physically then take any medicine . Thanks,paediatric doctor,0.0,"ANSWER: 0

The extracted entity ""paediatric doctor"" is mentioned in the given text, so it is not hallucinated.",1.0,"ANSWER: 1

The text specifically mentions a ""neonatologist,"" which is a specialist in newborn care, not a general pediatric doctor. Therefore, the extracted entity ""paediatric doctor"" is hallucinated."
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । দূর্বলতা কোনো রোগ নয় । এটা রোগের লক্ষন । আপনি পরিমিত খাবার খান । পানি বেশি করে পান করুন । যে সব রোগে মানুষ বেশি দূর্বল হয় যেমন ডায়াবেটিস , রক্ত শুন্যতা , জন্ডিস রোগ আপনার আছে কিনা তা জানার চেষ্টা করুন । একজন মেডিসিন বিশেষজ্ঞ কে দিয়ে পরিক্ষা করিয়ে নিন । স্ট্রোক করলেও হাত পা দূর্বল হতে পারে । ঘুম ঠিক মত হচ্ছে কিনা খেয়াল করুন । দুশ্চিন্তা দূর করুন । ধন্যবাদ । ",মেডিসিন বিশেষজ্ঞ,মেডিসিন বিশেষজ্ঞ,স্নায়ুরোগ বিশেষজ্ঞ,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । দূর্বলতা কোনো রোগ নয় । এটা রোগের লক্ষন । আপনি পরিমিত খাবার খান । পানি বেশি করে পান করুন । যে সব রোগে মানুষ বেশি দূর্বল হয় যেমন ডায়াবেটিস , রক্ত শুন্যতা , জন্ডিস রোগ আপনার আছে কিনা তা জানার চেষ্টা করুন । একজন স্নায়ুরোগ বিশেষজ্ঞ কে দিয়ে পরিক্ষা করিয়ে নিন । স্ট্রোক করলেও হাত পা দূর্বল হতে পারে । ঘুম ঠিক মত হচ্ছে কিনা খেয়াল করুন । দুশ্চিন্তা দূর করুন । ধন্যবাদ ।",মেডিসিন বিশেষজ্ঞ,0.0,"ANSWER: 0

The extracted entity ""মেডিসিন বিশেষজ্ঞ"" (medical specialist) is mentioned in the text. The text advises the reader to get tests done by a medical specialist",1.0,"ANSWER: 1

Explanation: The text does not mention a ""মেডিসিন বিশেষজ্ঞ"" (medicine specialist). Instead, it suggests consulting a ""স্নায়"
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । এই অবস্হায় সরাসরি না দেখে বাচ্চাকে কিছু দিলে ক্ষতি হতে পারে আপনি সরাসরি একজন Skin specialist এর পরামর্শ নিতে পারেন ধন্যবাদ,Skin specialist,Skin specialist,অ্যালার্জি বিশেষজ্ঞ,ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । এই অবস্হায় সরাসরি না দেখে বাচ্চাকে কিছু দিলে ক্ষতি হতে পারে আপনি সরাসরি একজন অ্যালার্জি বিশেষজ্ঞ এর পরামর্শ নিতে পারেন ধন্যবাদ,Skin specialist,0.0,"ANSWER: 0

The extracted entity ""Skin specialist"" is mentioned in the given text, so it is not hallucinated.",,"The text mentions an ""অ্যালার্জি বিশেষজ্ঞ"" which translates to ""allergy specialist"" in English. The extracted entity ""Skin specialist"" is not mentioned in the text."
